PG,SG,SF,PF,C,G,F,UTIL
Marcus Sasser (42203063),Dyson Daniels (42202653),Kyle Kuzma (42202787),Jalen Johnson (42202569),Dominick Barlow (42202791),Quentin Grimes (42202759),Kawhi Leonard (42202574),Ty Jerome (42202650)
Daniss Jenkins (42202911),Terance Mann (42202949),Kawhi Leonard (42202574),Giannis Antetokounmpo (42202563),Dominick Barlow (42202791),Quentin Grimes (42202759),Jalen Johnson (42202569),Marcus Sasser (42203063)
Tyrese Maxey (42202566),Quentin Grimes (42202759),,Dominick Barlow (42202791),Jalen Duren (42202591),Shai Gilgeous-Alexander (42202560),Kyle Filipowski (42202614),Marcus Sasser (42203063)
Shai Gilgeous-Alexander (42202560),Quentin Grimes (42202759),Dyson Daniels (42202653),Giannis Antetokounmpo (42202563),Myles Turner (42202725),Daniss Jenkins (42202911),Derrick Jones Jr. (42202770),Marcus Sasser (42203063)
Terance Mann (42202949),Quentin Grimes (42202759),Derrick Jones Jr. (42202770),Olivier-Maxence Prosper (42202732),Myles Turner (42202725),Kris Dunn (42202722),Giannis Antetokounmpo (42202563),Jalen Johnson (42202569)
Ryan Rollins (42202606),Dyson Daniels (42202653),Michael Porter Jr. (42202600),Giannis Antetokounmpo (42202563),Adem Bona (42202877),Marcus Sasser (42203063),Draymond Green (42202718),Daniss Jenkins (42202911)
Marcus Sasser (42203063),Kelly Oubre Jr. (42202680),Kawhi Leonard (42202574),Noah Clowney (42202774),Myles Turner (42202725),Quentin Grimes (42202759),Jalen Johnson (42202569),Dyson Daniels (42202653)
Tyrese Maxey (42202566),Quentin Grimes (42202759),Kyle Kuzma (42202787),Olivier-Maxence Prosper (42202732),Brook Lopez (42202754),Shai Gilgeous-Alexander (42202560),Cody Williams (42202816),Luguentz Dort (42202839)
Ryan Rollins (42202606),Luguentz Dort (42202839),Cody Williams (42202816),Jalen Johnson (42202569),Myles Turner (42202725),Daniss Jenkins (42202911),Giannis Antetokounmpo (42202563),Marcus Sasser (42203063)
Tyrese Maxey (42202566),Brandin Podziemski (42202622),Cody Williams (42202816),Giannis Antetokounmpo (42202563),Adem Bona (42202877),Quentin Grimes (42202759),Derrick Jones Jr. (42202770),Marcus Sasser (42203063)
Shai Gilgeous-Alexander (42202560),Terance Mann (42202949),,Jalen Johnson (42202569),Myles Turner (42202725),Daniss Jenkins (42202911),Kawhi Leonard (42202574),Marcus Sasser (42203063)
Kris Dunn (42202722),Luguentz Dort (42202839),Kawhi Leonard (42202574),Al Horford (42202711),Myles Turner (42202725),Tyrese Maxey (42202566),Dyson Daniels (42202653),Marcus Sasser (42203063)
Marcus Sasser (42203063),Luguentz Dort (42202839),Michael Porter Jr. (42202600),Kyle Kuzma (42202787),Myles Turner (42202725),Tyrese Maxey (42202566),Jalen Johnson (42202569),Daniss Jenkins (42202911)
Daniss Jenkins (42202911),Cason Wallace (42202700),Ousmane Dieng (42202888),Jalen Johnson (42202569),Myles Turner (42202725),Dyson Daniels (42202653),Giannis Antetokounmpo (42202563),Adem Bona (42202877)
Daniss Jenkins (42202911),Dyson Daniels (42202653),Kyle Kuzma (42202787),Jalen Johnson (42202569),Brook Lopez (42202754),Kris Dunn (42202722),Giannis Antetokounmpo (42202563),Adem Bona (42202877)
Keyonte George (42202611),Luguentz Dort (42202839),Ousmane Dieng (42202888),Jalen Johnson (42202569),Myles Turner (42202725),Daniss Jenkins (42202911),Dyson Daniels (42202653),Onyeka Okongwu (42202609)
Tyrese Maxey (42202566),Terance Mann (42202949),Kawhi Leonard (42202574),Olivier-Maxence Prosper (42202732),Brook Lopez (42202754),Quentin Grimes (42202759),Dyson Daniels (42202653),Nolan Traore (42202784)
Ryan Rollins (42202606),Duncan Robinson (42202803),Kawhi Leonard (42202574),Kyle Kuzma (42202787),Myles Turner (42202725),Daniss Jenkins (42202911),Dyson Daniels (42202653),Onyeka Okongwu (42202609)
Marcus Sasser (42203063),Nickeil Alexander-Walker (42202618),Ousmane Dieng (42202888),Jalen Johnson (42202569),Nic Claxton (42202690),Shai Gilgeous-Alexander (42202560),Noah Clowney (42202774),Adem Bona (42202877)
Tyrese Maxey (42202566),Luguentz Dort (42202839),Ousmane Dieng (42202888),Giannis Antetokounmpo (42202563),Myles Turner (42202725),Daniss Jenkins (42202911),Dyson Daniels (42202653),Quentin Grimes (42202759)
