PG,SG,SF,PF,C,G,F,UTIL
EJ Harkless (42221394),Donovan Mitchell (42221054),Kawhi Leonard (42221051),Kyle Filipowski (42221098),Grant Nelson (42221596),Jalen Brunson (42221062),Nate Williams (42221444),Nae'Qwan Tomlin (42221456)
Tyler Kolek (42221479),Jalen Pickett (42221433),Justin Edwards (42221415),Malevy Leons (42221567),Karl-Anthony Towns (42221074),Donovan Mitchell (42221054),Kawhi Leonard (42221051),Evan Mobley (42221079)
Keyonte George (42221092),De'Anthony Melton (42221170),Nate Williams (42221444),Kyle Filipowski (42221098),Quinten Post (42221423),Jalen Brunson (42221062),Justin Edwards (42221415),Karl-Anthony Towns (42221074)
Ben Saraf (42221542),Donovan Mitchell (42221054),Kawhi Leonard (42221051),Nae'Qwan Tomlin (42221456),Grant Nelson (42221596),Jalen Brunson (42221062),Evan Mobley (42221079),Mo Bamba (42221462)
James Harden (42221059),Brandin Podziemski (42221104),Dean Wade (42221388),Jalen Wilson (42221520),Oscar Tshiebwe (42221421),Jalen Brunson (42221062),Kawhi Leonard (42221051),Quinten Post (42221423)
James Harden (42221059),Jalen Pickett (42221433),Kawhi Leonard (42221051),Evan Mobley (42221079),Quinten Post (42221423),Tyler Kolek (42221479),Jalen Wilson (42221520),Jalen Brunson (42221062)
James Harden (42221059),Donovan Mitchell (42221054),Dalen Terry (42221533),Jalen Wilson (42221520),Grant Nelson (42221596),Tyler Kolek (42221479),Kawhi Leonard (42221051),Karl-Anthony Towns (42221074)
James Harden (42221059),Cameron Payne (42221310),Kawhi Leonard (42221051),Kyle Filipowski (42221098),Mo Bamba (42221462),Keyonte George (42221092),Nate Williams (42221444),Oscar Tshiebwe (42221421)
Ben Saraf (42221542),Kelly Oubre Jr. (42221134),Kawhi Leonard (42221051),Jalen Wilson (42221520),Adem Bona (42221351),James Harden (42221059),Dalen Terry (42221533),Shai Gilgeous-Alexander (42221045)
Shai Gilgeous-Alexander (42221045),Quentin Grimes (42221162),Kawhi Leonard (42221051),Ochai Agbaji (42221452),Grant Nelson (42221596),James Harden (42221059),Justin Edwards (42221415),Oscar Tshiebwe (42221421)
Shai Gilgeous-Alexander (42221045),Sam Merrill (42221215),Kawhi Leonard (42221051),Jalen Wilson (42221520),Jaylin Williams (42221183),James Harden (42221059),Dalen Terry (42221533),Malevy Leons (42221567)
Jalen Brunson (42221062),EJ Harkless (42221394),Kawhi Leonard (42221051),Jalen Wilson (42221520),Mo Bamba (42221462),James Harden (42221059),Malevy Leons (42221567),Evan Mobley (42221079)
James Harden (42221059),Donovan Mitchell (42221054),Dalen Terry (42221533),Kyle Filipowski (42221098),Mo Bamba (42221462),Shai Gilgeous-Alexander (42221045),Malevy Leons (42221567),Jalen Wilson (42221520)
Keyonte George (42221092),EJ Harkless (42221394),Kawhi Leonard (42221051),Malevy Leons (42221567),Grant Nelson (42221596),Donovan Mitchell (42221054),Evan Mobley (42221079),Dean Wade (42221388)
Jalen Brunson (42221062),Luguentz Dort (42221303),Kawhi Leonard (42221051),Malevy Leons (42221567),Mo Bamba (42221462),Donovan Mitchell (42221054),Jabari Walker (42221324),Jaylon Tyson (42221179)
Jalen Brunson (42221062),Donovan Mitchell (42221054),Kawhi Leonard (42221051),Malevy Leons (42221567),Ariel Hukporti (42221507),Jamal Murray (42221068),Nae'Qwan Tomlin (42221456),Jalen Wilson (42221520)
Jamal Murray (42221068),EJ Harkless (42221394),Kawhi Leonard (42221051),Malevy Leons (42221567),Oscar Tshiebwe (42221421),Jalen Brunson (42221062),Evan Mobley (42221079),Ben Saraf (42221542)
Ben Saraf (42221542),Brandin Podziemski (42221104),Kawhi Leonard (42221051),Jaylon Tyson (42221179),Kyle Filipowski (42221098),Jalen Brunson (42221062),Justin Edwards (42221415),Dalen Terry (42221533)
EJ Harkless (42221394),Donovan Mitchell (42221054),Justin Edwards (42221415),Jaylin Williams (42221183),Mo Bamba (42221462),Jalen Brunson (42221062),Dominick Barlow (42221328),Kawhi Leonard (42221051)
Jalen Brunson (42221062),Brandin Podziemski (42221104),Kawhi Leonard (42221051),Malevy Leons (42221567),Grant Nelson (42221596),Quentin Grimes (42221162),Kyle Filipowski (42221098),Justin Edwards (42221415)
