name,team,primary_position,salary,avg_pts,proj_pts_dk,ceiling,floor,value,proj_own,gpp_score,matchup,game_total
Jeremy Sochan,NYK,SF,3000,8.28,8.21,11.15,5.27,2.737,14.0,17.342,NYK@DEN,230.0
David Jones-Garcia,SAS,PG,3000,8.02,8.06,10.95,5.17,2.687,13.9,17.195,LAC@SAS,218.5
Mason Plumlee,SAS,C,3000,7.68,7.72,10.48,4.96,2.573,13.7,16.848,LAC@SAS,218.5
Carter Bryant,SAS,SF,3400,7.67,7.71,10.47,4.95,2.268,19.9,16.22,LAC@SAS,218.5
Jordan Hawkins,NOP,SG,3000,7.69,7.47,10.15,4.79,2.49,13.5,16.608,NOP@PHX,222.5
Ariel Hukporti,NYK,C,3000,7.2,7.14,9.7,4.58,2.38,13.4,16.265,NYK@DEN,230.0
TyTy Washington Jr.,LAC,PG,3000,7.14,6.86,9.32,4.4,2.287,13.2,15.987,LAC@SAS,218.5
Pat Connaughton,CHA,SF,3100,6.79,6.8,9.23,4.37,2.194,16.7,15.568,MIA@CHA,216.5
Isaiah Livers,PHX,SF,3000,6.61,6.74,9.16,4.32,2.247,13.0,15.881,NOP@PHX,222.5
Mohamed Diawara,NYK,PF,3200,6.64,6.59,8.96,4.22,2.059,17.4,15.284,NYK@DEN,230.0
Rasheer Fleming,PHX,SF,3400,6.33,6.46,8.78,4.14,1.9,19.0,14.983,NOP@PHX,222.5
Cam Christie,LAC,SG,3100,6.51,6.26,8.5,4.02,2.019,16.2,15.045,LAC@SAS,218.5
Keshad Johnson,MIA,SF,3000,6.53,6.23,8.46,4.0,2.077,12.5,15.384,MIA@CHA,216.5
AJ Johnson,DAL,PG,4000,6.29,6.13,8.33,3.93,1.532,21.3,14.401,DAL@BOS,224.5
Jae'Sean Tate,HOU,SG,3300,5.86,6.09,8.28,3.9,1.845,17.8,14.71,POR@HOU,229.0
Amir Coffey,PHX,SF,3300,5.97,6.09,8.28,3.9,1.845,17.8,14.71,NOP@PHX,222.5
Trey Alexander,NOP,PG,3000,6.2,6.02,8.18,3.86,2.007,12.0,15.213,NOP@PHX,222.5
JD Davison,HOU,PG,3000,5.77,6.0,8.15,3.85,2.0,11.8,15.21,POR@HOU,229.0
Emanuel Miller,SAS,SF,3000,5.95,5.98,8.12,3.84,1.993,11.7,15.197,LAC@SAS,218.5
Amari Williams,BOS,C,3000,5.53,5.7,7.75,3.65,1.9,11.6,14.915,DAL@BOS,224.5
Kevin McCullar Jr.,NYK,PF,3000,5.67,5.62,7.63,3.61,1.873,11.5,14.833,NYK@DEN,230.0
Hansen Yang,POR,C,3000,5.29,5.25,7.13,3.37,1.75,11.3,14.46,POR@HOU,229.0
Koby Brea,PHX,SG,3000,5.0,5.1,6.93,3.27,1.7,11.2,14.313,NOP@PHX,222.5
Jordan McLaughlin,SAS,PG,3000,4.98,5.01,6.8,3.22,1.67,11.1,14.222,LAC@SAS,218.5
Antonio Reeves,CHA,SG,3000,5.0,5.0,6.79,3.21,1.667,11.0,14.224,MIA@CHA,216.5
Dillon Jones,NYK,C,3000,5.0,4.96,6.74,3.18,1.653,10.8,14.204,NYK@DEN,230.0
Vladislav Goldin,MIA,C,3000,5.12,4.88,6.63,3.13,1.627,10.7,14.128,MIA@CHA,216.5
Khaman Maluach,PHX,C,3000,4.66,4.75,6.45,3.05,1.583,10.6,13.997,NOP@PHX,222.5
Xavier Tillman,CHA,C,3000,4.44,4.44,6.03,2.85,1.48,10.5,13.678,MIA@CHA,216.5
