PG,SG,SF,PF,C,G,F,UTIL
Jalen Suggs (42211041),AJ Green (42211199),Kevin Durant (42210966),Leaky Black (42211225),Victor Wembanyama (42210956),Tre Johnson (42211162),Bilal Coulibaly (42211120),Jericho Sims (42211249)
Trae Young (42210973),Tre Johnson (42211162),AJ Green (42211199),Leaky Black (42211225),Jericho Sims (42211249),Josh Giddey (42210995),Bilal Coulibaly (42211120),Victor Wembanyama (42210956)
Trae Young (42210973),Tre Johnson (42211162),AJ Green (42211199),Paolo Banchero (42210961),Myles Turner (42211111),Russell Westbrook (42211028),Bilal Coulibaly (42211120),Jericho Sims (42211249)
Ryan Rollins (42211008),Tre Johnson (42211162),AJ Green (42211199),Leaky Black (42211225),Victor Wembanyama (42210956),Amen Thompson (42210976),Bilal Coulibaly (42211120),Jericho Sims (42211249)
Tre Johnson (42211162),AJ Green (42211199),Leaky Black (42211225),Paolo Banchero (42210961),Jericho Sims (42211249),Josh Giddey (42210995),Bilal Coulibaly (42211120),Alperen Sengun (42210964)
Tre Johnson (42211162),Trey Murphy III (42210998),Leaky Black (42211225),Bilal Coulibaly (42211120),Victor Wembanyama (42210956),Desmond Bane (42210987),AJ Green (42211199),Jericho Sims (42211249)
Trae Young (42210973),Tre Johnson (42211162),Kevin Durant (42210966),Leaky Black (42211225),Alperen Sengun (42210964),AJ Green (42211199),Bilal Coulibaly (42211120),Jericho Sims (42211249)
Ryan Rollins (42211008),Tre Johnson (42211162),Leaky Black (42211225),Bilal Coulibaly (42211120),Jericho Sims (42211249),Trae Young (42210973),Paolo Banchero (42210961),Myles Turner (42211111)
Jalen Suggs (42211041),Tre Johnson (42211162),Kevin Durant (42210966),Bilal Coulibaly (42211120),Jericho Sims (42211249),Josh Giddey (42210995),AJ Green (42211199),Russell Westbrook (42211028)
Tre Johnson (42211162),Tre Jones (42211141),Desmond Bane (42210987),Leaky Black (42211225),Victor Wembanyama (42210956),Russell Westbrook (42211028),Bilal Coulibaly (42211120),Jericho Sims (42211249)
Tre Johnson (42211162),AJ Green (42211199),Bilal Coulibaly (42211120),Leaky Black (42211225),Victor Wembanyama (42210956),Nique Clifford (42211070),Paolo Banchero (42210961),Jericho Sims (42211249)
Jalen Suggs (42211041),Tre Johnson (42211162),AJ Green (42211199),Bilal Coulibaly (42211120),Jericho Sims (42211249),Trae Young (42210973),Guerschon Yabusele (42211152),Victor Wembanyama (42210956)
Ryan Rollins (42211008),Desmond Bane (42210987),AJ Green (42211199),Julian Champagnie (42211166),Jericho Sims (42211249),Tre Johnson (42211162),Bilal Coulibaly (42211120),Victor Wembanyama (42210956)
Tre Johnson (42211162),AJ Green (42211199),Bilal Coulibaly (42211120),Leaky Black (42211225),Jericho Sims (42211249),Russell Westbrook (42211028),Deni Avdija (42210969),Victor Wembanyama (42210956)
Ryan Rollins (42211008),Tre Johnson (42211162),Leaky Black (42211225),Bilal Coulibaly (42211120),Victor Wembanyama (42210956),Russell Westbrook (42211028),Nique Clifford (42211070),Jericho Sims (42211249)
Tre Johnson (42211162),Tre Jones (42211141),Kevin Durant (42210966),Bilal Coulibaly (42211120),Victor Wembanyama (42210956),AJ Green (42211199),Nique Clifford (42211070),Leaky Black (42211225)
Tre Johnson (42211162),AJ Green (42211199),Bilal Coulibaly (42211120),Leaky Black (42211225),Maxime Raynaud (42211068),Russell Westbrook (42211028),Matas Buzelis (42211031),Victor Wembanyama (42210956)
Tre Johnson (42211162),Desmond Bane (42210987),Bilal Coulibaly (42211120),Leaky Black (42211225),Alperen Sengun (42210964),Jalen Suggs (42211041),Matas Buzelis (42211031),Jericho Sims (42211249)
Tre Johnson (42211162),Nique Clifford (42211070),Bilal Coulibaly (42211120),Leaky Black (42211225),Jericho Sims (42211249),Josh Giddey (42210995),Precious Achiuwa (42211078),Victor Wembanyama (42210956)
Ryan Rollins (42211008),Tre Johnson (42211162),Bilal Coulibaly (42211120),Leaky Black (42211225),Maxime Raynaud (42211068),AJ Green (42211199),Nique Clifford (42211070),Victor Wembanyama (42210956)
