Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
24,5086136669,mrhands17 (1/20),0,312.25,C Wendell Carter Jr. F Kawhi Leonard G Landry Shamet PF OG Anunoby PG Killian Hayes SF Desmond Bane SG Brice Sensabaugh UTIL Karl-Anthony Towns,,Daeqwon Plowden,SF,7.43%,21
26,5086277868,cantbstopped5deuce (20/20),0,312,C Wendell Carter Jr. F Kawhi Leonard G Dejounte Murray PF Daeqwon Plowden PG Jevon Carter SF Brice Sensabaugh SG Killian Hayes UTIL Nikola Jokic,,Bennedict Mathurin,F,7.38%,31
26,5086399425,Lujack43 (11/20),0,312,C Clint Capela F OG Anunoby G Desmond Bane PF Zion Williamson PG Jalen Suggs SF DeMar DeRozan SG Brice Sensabaugh UTIL Nique Clifford,,Patrick Baldwin Jr.,PF,7.38%,0
28,5086147597,opatlion (20/20),0,311.75,C Nikola Jokic F Daeqwon Plowden G Killian Hayes PF Tristan da Silva PG Dejounte Murray SF Nique Clifford SG Landry Shamet UTIL Kawhi Leonard,,Daeqwon Plowden,F,7.15%,21
28,5086420433,therizzo (13/20),0,311.75,C Nikola Jokic F Nique Clifford G Killian Hayes PF Daeqwon Plowden PG Dejounte Murray SF Tristan da Silva SG Landry Shamet UTIL Kawhi Leonard,,Mikal Bridges,F,6.70%,18.75
28,5086494698,rrsweeting (15/20),0,311.75,C Nikola Jokic F Nique Clifford G Killian Hayes PF Daeqwon Plowden PG Dejounte Murray SF Tristan da Silva SG Landry Shamet UTIL Kawhi Leonard,,Zion Williamson,PF,6.68%,33.5
31,5086544605,claytankgunner (20/20),0,311.5,C Wendell Carter Jr. F Miles Bridges G Jalen Brunson PF Daeqwon Plowden PG Dejounte Murray SF Kawhi Leonard SG Killian Hayes UTIL Darius Garland,,Darius Garland,UTIL,6.64%,36.25
32,5085880492,bacon6966 (3/20),0,311,C Nikola Jokic F Brice Sensabaugh G LaMelo Ball PF Sion James PG Dejounte Murray SF Tristan da Silva SG Killian Hayes UTIL Darius Garland,,Derrick Jones Jr.,F,6.56%,28
32,5086018201,TheKid2430 (6/20),0,311,C Jakob Poeltl F Kawhi Leonard G Jalen Brunson PF Miles Bridges PG Dejounte Murray SF Nique Clifford SG Jordan Miller UTIL Killian Hayes,,Dejounte Murray,G,6.11%,45.25
34,5086005955,JagDawg,0,310.75,C Evan Mobley F Keon Ellis G LaMelo Ball PF Derrick Jones Jr. PG Jalen Brunson SF Tristan da Silva SG Kon Knueppel UTIL Mitchell Robinson,,Paolo Banchero,PF,6.11%,45.5
34,5086102426,jwclark311 (20/20),0,310.75,C Nikola Jokic F Daeqwon Plowden G Kris Dunn PF Miles Bridges PG Killian Hayes SF Tristan da Silva SG Nique Clifford UTIL Kawhi Leonard,,Wendell Carter Jr.,C,5.88%,34.75
34,5086332640,adh4andrew (14/20),0,310.75,C Nikola Jokic F Daeqwon Plowden G Brice Sensabaugh PF Miles Bridges PG Killian Hayes SF Desmond Bane SG Trey Murphy III UTIL Landry Shamet,,Kawhi Leonard,SF,5.87%,65.25
34,5086482586,miashade (16/20),0,310.75,C Nikola Jokic F Miles Bridges G Christian Braun PF Tristan da Silva PG Killian Hayes SF Kawhi Leonard SG Landry Shamet UTIL Darius Garland,,Aaron Gordon,PF,5.61%,8.5
38,5085933298,goofybh207 (2/20),0,310,C Jakob Poeltl F Mikal Bridges G LaMelo Ball PF DeMar DeRozan PG Dejounte Murray SF Tristan da Silva SG Killian Hayes UTIL Kawhi Leonard,,Karl-Anthony Towns,UTIL,5.61%,40.75
38,5086223077,felixmehrabian,0,310,C Mitchell Robinson F Tristan da Silva G Dejounte Murray PF Evan Mobley PG Jalen Brunson SF Kawhi Leonard SG Landry Shamet UTIL Sandro Mamukelashvili,,Derrick Jones Jr.,PF,5.58%,28
40,5086338490,salatso22 (14/20),0,309.75,C Isaiah Jackson F Bennedict Mathurin G Jalen Brunson PF Miles Bridges PG Dejounte Murray SF Brice Sensabaugh SG Jordan Miller UTIL Jamal Murray,,Jalen Brunson,G,5.12%,51.5
41,5085988171,swalk72,0,309.5,C Wendell Carter Jr. F Derrick Jones Jr. G Christian Braun PF Paolo Banchero PG Darius Garland SF Kawhi Leonard SG Cody Williams UTIL Brice Sensabaugh,,Bennedict Mathurin,SG,4.96%,31
41,5086137655,fritzhoff5 (13/20),0,309.5,C Wendell Carter Jr. F OG Anunoby G Dejounte Murray PF Evan Mobley PG Trey Murphy III SF Desmond Bane SG Landry Shamet UTIL Mitchell Robinson,,Bennedict Mathurin,SF,4.82%,31
43,5086046721,jonytiler (3/20),0,309.25,C Wendell Carter Jr. F OG Anunoby G Killian Hayes PF Tristan da Silva PG Dejounte Murray SF RJ Barrett SG Trey Murphy III UTIL Kawhi Leonard,,RJ Barrett,F,4.82%,27.75
44,5086131315,IronM1ke53 (3/20),0,309,C Mitchell Robinson F Kawhi Leonard G Landry Shamet PF Naz Reid PG Killian Hayes SF Tristan da Silva SG Desmond Bane UTIL Nikola Jokic,,Miles Bridges,PF,4.78%,38.5
44,5086383428,scooter8174 (7/7),0,309,C Nikola Jokic F Derrick Jones Jr. G Landry Shamet PF Tristan da Silva PG Darius Garland SF Kawhi Leonard SG Kris Dunn UTIL Wendell Carter Jr.,,Kawhi Leonard,UTIL,4.77%,65.25
46,5086368664,manuelthinking (12/20),0,308.5,C Nikola Jokic F Nique Clifford G Killian Hayes PF Derrick Jones Jr. PG Jevon Carter SF Desmond Bane SG Landry Shamet UTIL Kawhi Leonard,,Moussa Diabate,C,4.66%,19.5
47,5085986142,London-River-Rats,0,307.75,C Evan Mobley F DeMar DeRozan G Bennedict Mathurin PF Miles Bridges PG Darius Garland SF Tristan da Silva SG Desmond Bane UTIL Brook Lopez,,Trey Murphy III,SG,4.39%,48.25
47,5086260740,sploush (13/20),0,307.75,C Wendell Carter Jr. F Daeqwon Plowden G Jamal Murray PF Tristan da Silva PG Dejounte Murray SF Brice Sensabaugh SG Killian Hayes UTIL Nikola Jokic,,OG Anunoby,F,4.16%,33
47,5086265827,Nimbles (5/20),0,307.75,C Nikola Jokic F Kawhi Leonard G Landry Shamet PF Tristan da Silva PG Darius Garland SF Brice Sensabaugh SG Killian Hayes UTIL Naz Reid,,Kevin Durant,SF,4.15%,22
47,5086265828,Nimbles (6/20),0,307.75,C Nikola Jokic F Kawhi Leonard G Landry Shamet PF Tristan da Silva PG Darius Garland SF Brice Sensabaugh SG Killian Hayes UTIL Naz Reid,,Kevin Durant,F,4.10%,22
47,5086265829,Nimbles (7/20),0,307.75,C Nikola Jokic F Kawhi Leonard G Landry Shamet PF Tristan da Silva PG Darius Garland SF Brice Sensabaugh SG Killian Hayes UTIL Naz Reid,,Kon Knueppel,SG,4.07%,39.25
47,5086265830,Nimbles (8/20),0,307.75,C Nikola Jokic F Kawhi Leonard G Landry Shamet PF Tristan da Silva PG Darius Garland SF Brice Sensabaugh SG Killian Hayes UTIL Naz Reid,,Scottie Barnes,PF,3.89%,30
53,5086182970,kearg24 (13/20),0,307.5,C Nikola Jokic F Cody Williams G Dejounte Murray PF Tristan da Silva PG Darius Garland SF Kawhi Leonard SG Landry Shamet UTIL Killian Hayes,,Derrick Jones Jr.,SF,3.79%,28
53,5086495241,QBKillaz (15/20),0,307.5,C Wendell Carter Jr. F Kawhi Leonard G Killian Hayes PF Paolo Banchero PG Jalen Brunson SF Tristan da Silva SG Landry Shamet UTIL Darius Garland,,Maxime Raynaud,UTIL,3.79%,19
53,5086551710,AtlantaSniper03,0,307.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Tristan da Silva PG Dejounte Murray SF Cody Williams SG Landry Shamet UTIL Darius Garland,,Tristan da Silva,F,3.79%,36
