Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5083694731,HBWILLIE2006 (3/20),0,350.75,C Jay Huff F Desmond Bane G Trey Murphy III PF Precious Achiuwa PG Russell Westbrook SF Collin Sexton SG Malik Monk UTIL Maxime Raynaud,,Ousmane Dieng,SF,46.05%,18
2,5084124588,ilalscratch (7/20),0,350.25,C Maxime Raynaud F Julian Champagnie G Jrue Holiday PF Bobby Portis PG Trey Murphy III SF Saddiq Bey SG Malik Monk UTIL Russell Westbrook,,Dejounte Murray,PG,36.68%,32.5
3,5083585005,FlyBoysGangGreen (9/20),0,344.75,C Maxime Raynaud F Matas Buzelis G Russell Westbrook PF Saddiq Bey PG Jalen Suggs SF Ousmane Dieng SG Malik Monk UTIL Josh Giddey,,Trey Murphy III,SG,30.29%,40.25
4,5083585013,FlyBoysGangGreen (17/20),0,341.25,C Jay Huff F Jerami Grant G Josh Giddey PF Bobby Portis PG Russell Westbrook SF Ousmane Dieng SG Desmond Bane UTIL Maxime Raynaud,,Ryan Rollins,G,26.80%,22.75
5,5083573629,Dakrusher67,0,340.75,C Jay Huff F Zion Williamson G Russell Westbrook PF Precious Achiuwa PG Josh Giddey SF Collin Sexton SG Malik Monk UTIL Maxime Raynaud,,Precious Achiuwa,F,25.82%,29.25
5,5083692406,HBWILLIE2006 (1/20),0,340.75,C Jay Huff F Zion Williamson G Josh Giddey PF Precious Achiuwa PG Russell Westbrook SF Collin Sexton SG Malik Monk UTIL Maxime Raynaud,,Precious Achiuwa,PF,21.23%,29.25
5,5083818019,RHLions,0,340.75,C Jay Huff F Zion Williamson G Russell Westbrook PF Precious Achiuwa PG Josh Giddey SF Collin Sexton SG Malik Monk UTIL Maxime Raynaud,,Ryan Rollins,PG,20.95%,22.75
8,5083691302,shopmiamor_com (20/20),0,340.5,C Jay Huff F Bobby Portis G Russell Westbrook PF Zion Williamson PG Dejounte Murray SF Saddiq Bey SG Malik Monk UTIL Maxime Raynaud,,Zion Williamson,PF,16.94%,24
9,5083709410,mlief (8/20),0,340.25,C Maxime Raynaud F Precious Achiuwa G Malik Monk PF Matas Buzelis PG Russell Westbrook SF Daeqwon Plowden SG Stephon Castle UTIL Josh Giddey,,Josh Giddey,UTIL,16.81%,51
10,5083680281,patkingpin (13/20),0,337.75,C Maxime Raynaud F Julian Champagnie G De'Aaron Fox PF Bobby Portis PG Josh Giddey SF Keldon Johnson SG Stephon Castle UTIL Russell Westbrook,,Bobby Portis,PF,16.18%,42
11,5083585011,FlyBoysGangGreen (15/20),0,337.5,C Jay Huff F Paolo Banchero G Russell Westbrook PF Bobby Portis PG Andrew Nembhard SF Ousmane Dieng SG Malik Monk UTIL Josh Giddey,,Tre Jones,SG,14.97%,22.75
11,5083680273,patkingpin (5/20),0,337.5,C Maxime Raynaud F Keldon Johnson G Jalen Suggs PF Bobby Portis PG Josh Giddey SF Desmond Bane SG Cam Thomas UTIL Russell Westbrook,,Ousmane Dieng,F,14.58%,18
13,5084030883,oldangrygamer (12/20),0,336.25,C Maxime Raynaud F Collin Sexton G Russell Westbrook PF Paolo Banchero PG Malik Monk SF Isaac Okoro SG Trey Murphy III UTIL Jay Huff,,Maxime Raynaud,C,14.40%,51.75
14,5083446087,melvincali (15/20),0,334.25,C Jay Huff F Daeqwon Plowden G Josh Giddey PF Bobby Portis PG Dejounte Murray SF Kevin Durant SG Malik Monk UTIL Russell Westbrook,,Malik Monk,SG,13.72%,46
15,5083577895,My_sons (7/20),0,334,C Victor Wembanyama F Ousmane Dieng G Josh Giddey PF Bobby Portis PG Russell Westbrook SF Julian Champagnie SG Collin Sexton UTIL Jay Huff,,Precious Achiuwa,C,12.99%,29.25
16,5083585009,FlyBoysGangGreen (13/20),0,333.75,C Jay Huff F Desmond Bane G Russell Westbrook PF Saddiq Bey PG Jalen Suggs SF Ousmane Dieng SG Malik Monk UTIL Josh Giddey,,Victor Wembanyama,C,12.92%,53.5
17,5084241763,LOCNOTM (12/20),0,333.5,C Julian Reese F Precious Achiuwa G Josh Giddey PF Bobby Portis PG Russell Westbrook SF Julian Champagnie SG Trey Murphy III UTIL Maxime Raynaud,,Josh Giddey,G,12.48%,51
