Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
18,5083691300,shopmiamor_com (18/20),0,333.25,C Maxime Raynaud F Bobby Portis G Russell Westbrook PF Zion Williamson PG Dejounte Murray SF Daeqwon Plowden SG Malik Monk UTIL Josh Giddey,,Donovan Clingan,C,11.91%,30.25
19,5083680287,patkingpin (19/20),0,332.5,C Maxime Raynaud F Paolo Banchero G Russell Westbrook PF Bobby Portis PG Cam Thomas SF Keldon Johnson SG Tre Jones UTIL Josh Giddey,,Jay Huff,C,9.76%,37.5
20,5084110036,parkerJ4814 (11/20),0,332.25,C Maxime Raynaud F Precious Achiuwa G Malik Monk PF Saddiq Bey PG Russell Westbrook SF Isaac Okoro SG Stephon Castle UTIL Josh Giddey,,Russell Westbrook,G,8.22%,62.75
21,5084241754,LOCNOTM (3/20),0,331.25,C Julian Reese F Precious Achiuwa G Josh Giddey PF Paolo Banchero PG Russell Westbrook SF Ousmane Dieng SG Malik Monk UTIL Maxime Raynaud,,Saddiq Bey,SF,7.78%,44
22,5084256207,MRJLX (9/20),0,330.75,C Victor Wembanyama F Bobby Portis G Russell Westbrook PF Julian Champagnie PG Malik Monk SF Ousmane Dieng SG Trey Murphy III UTIL Jay Huff,,Dejounte Murray,G,7.49%,32.5
23,5083427840,eagles1973 (2/2),0,330,C Jay Huff F Zion Williamson G Russell Westbrook PF Precious Achiuwa PG Malik Monk SF Collin Sexton SG Trey Murphy III UTIL Maxime Raynaud,,Bobby Portis,C,7.13%,42
23,5083524597,big_dog7 (4/6),0,330,C Jay Huff F Zion Williamson G Russell Westbrook PF Precious Achiuwa PG Malik Monk SF Collin Sexton SG Trey Murphy III UTIL Maxime Raynaud,,Russell Westbrook,UTIL,6.80%,62.75
23,5083692446,HBWILLIE2006 (2/20),0,330,C Jay Huff F Zion Williamson G Trey Murphy III PF Precious Achiuwa PG Russell Westbrook SF Collin Sexton SG Malik Monk UTIL Maxime Raynaud,,Trey Murphy III,PG,6.64%,40.25
23,5083821792,Chuckoo,0,330,C Jay Huff F Zion Williamson G Russell Westbrook PF Precious Achiuwa PG Trey Murphy III SF Collin Sexton SG Malik Monk UTIL Maxime Raynaud,,Tristan da Silva,PF,6.56%,22
23,5084030878,oldangrygamer (7/20),0,330,C Jay Huff F Zion Williamson G Russell Westbrook PF Precious Achiuwa PG Malik Monk SF Collin Sexton SG Trey Murphy III UTIL Maxime Raynaud,,Jrue Holiday,G,6.50%,32.75
28,5084042523,Bergweiser (9/20),0,329.25,C Maxime Raynaud F Precious Achiuwa G Russell Westbrook PF Bobby Portis PG Malik Monk SF Ousmane Dieng SG Trey Murphy III UTIL Kevin Durant,,Jalen Suggs,G,6.39%,29.75
29,5084098215,BleedORANGE (9/12),0,328.75,C Maxime Raynaud F Matas Buzelis G Russell Westbrook PF Precious Achiuwa PG Josh Giddey SF Toumani Camara SG Malik Monk UTIL Tre Jones,,Tristan da Silva,SF,6.19%,22
30,5083604533,sportsfanatic89 (8/20),0,328,C Bobby Portis F Matas Buzelis G Russell Westbrook PF Saddiq Bey PG Ryan Rollins SF Ousmane Dieng SG Malik Monk UTIL Josh Giddey,,Stephon Castle,SG,6.11%,34.75
30,5084124587,ilalscratch (6/20),0,328,C Jay Huff F Bobby Portis G Russell Westbrook PF Zion Williamson PG Trey Murphy III SF Toumani Camara SG Malik Monk UTIL Maxime Raynaud,,Jalen Suggs,PG,5.86%,29.75
32,5084110045,parkerJ4814 (20/20),0,327.75,C Maxime Raynaud F Daeqwon Plowden G Josh Giddey PF Bobby Portis PG Russell Westbrook SF Saddiq Bey SG Tre Jones UTIL Donovan Clingan,,Donovan Clingan,UTIL,5.49%,30.25
33,5084110044,parkerJ4814 (19/20),0,327.5,C Maxime Raynaud F Bobby Portis G Russell Westbrook PF Daeqwon Plowden PG Josh Giddey SF Desmond Bane SG Tre Jones UTIL Precious Achiuwa,,Julian Champagnie,PF,5.41%,30.75
34,5083821751,mrhands17 (17/20),0,327,C Precious Achiuwa F Ousmane Dieng G Russell Westbrook PF Paolo Banchero PG Cam Thomas SF Saddiq Bey SG Malik Monk UTIL Josh Giddey,,Bobby Portis,F,5.33%,42
35,5083820985,renegade (18/20),0,326.5,C Maxime Raynaud F Bobby Portis G Josh Giddey PF Paolo Banchero PG Dejounte Murray SF Ousmane Dieng SG Malik Monk UTIL Collin Sexton,,Julian Champagnie,SF,5.31%,30.75
36,5083680283,patkingpin (15/20),0,325.75,C Maxime Raynaud F Paolo Banchero G Russell Westbrook PF Bobby Portis PG Cam Thomas SF Desmond Bane SG Tre Jones UTIL Julian Reese,,Jrue Holiday,PG,5.09%,32.75
37,5083634406,jimlexxx (4/20),0,325.5,C Maxime Raynaud F Precious Achiuwa G Josh Giddey PF Saddiq Bey PG Ryan Rollins SF Ousmane Dieng SG Malik Monk UTIL Russell Westbrook,,Paolo Banchero,PF,4.83%,46.75
37,5084122711,bearsden1975 (10/20),0,325.5,C Maxime Raynaud F Ousmane Dieng G Russell Westbrook PF Precious Achiuwa PG Ryan Rollins SF Saddiq Bey SG Malik Monk UTIL Josh Giddey,,Tre Jones,G,4.83%,22.75
37,5084148749,fillyfan2002 (16/20),0,325.5,C Maxime Raynaud F Ousmane Dieng G Josh Giddey PF Precious Achiuwa PG Ryan Rollins SF Saddiq Bey SG Malik Monk UTIL Russell Westbrook,,Ryan Rollins,UTIL,4.81%,22.75
40,5083734313,kozy6813 (8/20),0,324.75,C Donovan Clingan F Precious Achiuwa G Malik Monk PF Bobby Portis PG Russell Westbrook SF Daeqwon Plowden SG Trey Murphy III UTIL Josh Giddey,,Moritz Wagner,C,4.73%,14.25
41,5083946655,stock2mail (12/20),0,323.75,C Jay Huff F Isaac Okoro G Russell Westbrook PF Bobby Portis PG Dejounte Murray SF Kevin Durant SG Malik Monk UTIL Josh Giddey,,Maxime Raynaud,UTIL,4.65%,51.75
42,5083446085,melvincali (13/20),0,323.5,C Jay Huff F Matas Buzelis G Josh Giddey PF Bobby Portis PG Amen Thompson SF Daeqwon Plowden SG Tre Jones UTIL Russell Westbrook,,Matas Buzelis,F,4.57%,41.5
42,5084241764,LOCNOTM (13/20),0,323.5,C Precious Achiuwa F Julian Champagnie G Josh Giddey PF Saddiq Bey PG Russell Westbrook SF Ousmane Dieng SG Malik Monk UTIL Deni Avdija,,Saddiq Bey,PF,4.55%,44
44,5083626714,donjuan32 (4/20),0,323,C Maxime Raynaud F Matas Buzelis G Josh Giddey PF Precious Achiuwa PG Ryan Rollins SF Ousmane Dieng SG Malik Monk UTIL Russell Westbrook,,Jay Huff,UTIL,4.51%,37.5
44,5083635084,j12forheisman (8/20),0,323,C Maxime Raynaud F Precious Achiuwa G Josh Giddey PF Matas Buzelis PG Ryan Rollins SF Ousmane Dieng SG Malik Monk UTIL Russell Westbrook,,Collin Sexton,SG,4.49%,38.5
44,5083775143,greendose (6/20),0,323,C Maxime Raynaud F Matas Buzelis G Russell Westbrook PF Precious Achiuwa PG Ryan Rollins SF Ousmane Dieng SG Malik Monk UTIL Josh Giddey,,Amen Thompson,PG,4.44%,42.75
44,5083856207,rdixon13 (14/20),0,323,C Maxime Raynaud F Precious Achiuwa G Josh Giddey PF Matas Buzelis PG Ryan Rollins SF Ousmane Dieng SG Malik Monk UTIL Russell Westbrook,,Tristan da Silva,F,4.43%,22
44,5084076066,Jet411980 (3/20),0,323,C Maxime Raynaud F Matas Buzelis G Ryan Rollins PF Precious Achiuwa PG Russell Westbrook SF Ousmane Dieng SG Malik Monk UTIL Josh Giddey,,Precious Achiuwa,UTIL,4.38%,29.25
44,5084081483,TheGuru2424 (3/20),0,323,C Maxime Raynaud F Matas Buzelis G Russell Westbrook PF Precious Achiuwa PG Ryan Rollins SF Ousmane Dieng SG Malik Monk UTIL Josh Giddey,,Victor Wembanyama,UTIL,4.34%,53.5
44,5084192847,hardhatman (14/20),0,323,C Maxime Raynaud F Precious Achiuwa G Russell Westbrook PF Matas Buzelis PG Ryan Rollins SF Ousmane Dieng SG Malik Monk UTIL Josh Giddey,,Reed Sheppard,SG,4.33%,28.75
44,5084252322,jddsaf (1/20),0,323,C Maxime Raynaud F Matas Buzelis G Russell Westbrook PF Precious Achiuwa PG Ryan Rollins SF Ousmane Dieng SG Malik Monk UTIL Josh Giddey,,Kevin Durant,SF,4.22%,39.25
52,5083691298,shopmiamor_com (16/20),0,322.75,C Maxime Raynaud F Bobby Portis G Russell Westbrook PF Zion Williamson PG Dejounte Murray SF Isaac Okoro SG Malik Monk UTIL Josh Giddey,,Nique Clifford,SG,4.16%,26.5
53,5083691301,shopmiamor_com (19/20),0,322.5,C Maxime Raynaud F Bobby Portis G Malik Monk PF Zion Williamson PG Dejounte Murray SF Daeqwon Plowden SG Trey Murphy III UTIL Russell Westbrook,,Bilal Coulibaly,SF,4.01%,12
53,5084206273,westh8bamix (4/20),0,322.5,C Maxime Raynaud F Daeqwon Plowden G Russell Westbrook PF Precious Achiuwa PG Dejounte Murray SF Saddiq Bey SG Tre Johnson UTIL Josh Giddey,,Russell Westbrook,PG,3.96%,62.75
55,5083680285,patkingpin (17/20),0,321.75,C Myles Turner F Julian Champagnie G De'Aaron Fox PF Bobby Portis PG Josh Giddey SF Desmond Bane SG Malik Monk UTIL Russell Westbrook,,Herbert Jones,C,3.94%,11.5
55,5084083506,siyu798 (10/20),0,321.75,C Precious Achiuwa F Matas Buzelis G Malik Monk PF Bobby Portis PG Dejounte Murray SF Saddiq Bey SG Stephon Castle UTIL Maxime Raynaud,,Collin Sexton,SF,3.88%,38.5
57,5083548649,TheDingoDude (7/20),0,321.5,C Victor Wembanyama F Bobby Portis G Russell Westbrook PF Precious Achiuwa PG Dejounte Murray SF Ousmane Dieng SG Malik Monk UTIL Jay Huff,,Malik Monk,G,3.80%,46
57,5084284655,Grntdn581 (5/14),0,321.5,C Victor Wembanyama F Precious Achiuwa G Russell Westbrook PF Bobby Portis PG Dejounte Murray SF Ousmane Dieng SG Malik Monk UTIL Jay Huff,,Jrue Holiday,UTIL,3.73%,32.75
59,5083584999,FlyBoysGangGreen (3/20),0,321.25,C Precious Achiuwa F Matas Buzelis G Russell Westbrook PF Saddiq Bey PG Malik Monk SF Ousmane Dieng SG Reed Sheppard UTIL Josh Giddey,,Toumani Camara,SG,3.73%,23.75
59,5083585006,FlyBoysGangGreen (10/20),0,321.25,C Jay Huff F Pascal Siakam G Russell Westbrook PF Jerami Grant PG Dejounte Murray SF Ousmane Dieng SG Malik Monk UTIL Josh Giddey,,Josh Giddey,PG,3.70%,51
59,5084189499,VeryBerry69 (17/20),0,321.25,C Jay Huff F Pascal Siakam G Russell Westbrook PF Jerami Grant PG Dejounte Murray SF Ousmane Dieng SG Malik Monk UTIL Josh Giddey,,Leaky Black,SF,3.54%,21
59,5084241761,LOCNOTM (10/20),0,321.25,C Julian Reese F Precious Achiuwa G Josh Giddey PF Saddiq Bey PG Russell Westbrook SF Julian Champagnie SG Trey Murphy III UTIL Jay Huff,,Zion Williamson,F,3.47%,24
63,5084082656,lelo2906 (15/20),0,321,C Maxime Raynaud F Precious Achiuwa G Jrue Holiday PF Tristan da Silva PG Dejounte Murray SF Saddiq Bey SG Malik Monk UTIL Russell Westbrook,,Jerami Grant,PF,3.36%,33.5
64,5084110042,parkerJ4814 (17/20),0,320.75,C Maxime Raynaud F Precious Achiuwa G Josh Giddey PF Daeqwon Plowden PG Russell Westbrook SF Nique Clifford SG Malik Monk UTIL Donovan Clingan,,Julian Champagnie,F,3.35%,30.75
65,5083649338,guitar247 (18/20),0,320.5,C Jay Huff F Pascal Siakam G Russell Westbrook PF Tristan da Silva PG Ryan Rollins SF Collin Sexton SG Malik Monk UTIL Josh Giddey,,Alperen Sengun,C,3.13%,25.5
65,5084095791,jayballin08 (15/20),0,320.5,C Maxime Raynaud F Bobby Portis G Russell Westbrook PF Saddiq Bey PG Dejounte Murray SF Ousmane Dieng SG Trey Murphy III UTIL Precious Achiuwa,,Desmond Bane,SG,3.11%,44.75
65,5084118286,thomasgore (5/20),0,320.5,C Bobby Portis F Precious Achiuwa G Russell Westbrook PF Saddiq Bey PG Dejounte Murray SF Ousmane Dieng SG Trey Murphy III UTIL Maxime Raynaud,,Malik Monk,UTIL,3.09%,46
68,5083709412,mlief (10/20),0,320.25,C Maxime Raynaud F Daeqwon Plowden G Josh Giddey PF Bobby Portis PG Ryan Rollins SF Saddiq Bey SG Tre Jones UTIL Russell Westbrook,,Matas Buzelis,PF,3.01%,41.5
68,5084086941,jayballin08 (1/20),0,320.25,C Maxime Raynaud F Ousmane Dieng G Josh Giddey PF Saddiq Bey PG Russell Westbrook SF Daeqwon Plowden SG Trey Murphy III UTIL Precious Achiuwa,,Guerschon Yabusele,F,3.00%,14.75
70,5083559447,kawhisenberg (13/20),0,320,C Victor Wembanyama F Daeqwon Plowden G Russell Westbrook PF Bobby Portis PG Ryan Rollins SF Ousmane Dieng SG Malik Monk UTIL Maxime Raynaud,,Cam Thomas,SG,2.89%,29.25
71,5083584998,FlyBoysGangGreen (2/20),0,319.75,C Jay Huff F Bobby Portis G Russell Westbrook PF Saddiq Bey PG Jalen Suggs SF Ousmane Dieng SG Stephon Castle UTIL Josh Giddey,,Daeqwon Plowden,F,2.85%,23.25
71,5084098414,wax13 (4/4),0,319.75,C Maxime Raynaud F Precious Achiuwa G Russell Westbrook PF Bobby Portis PG Dejounte Murray SF Collin Sexton SG Trey Murphy III UTIL Tre Jones,,Jerami Grant,F,2.78%,33.5
73,5084257761,treyb12 (16/20),0,319.5,C Donovan Clingan F Precious Achiuwa G Malik Monk PF Bobby Portis PG Russell Westbrook SF Ousmane Dieng SG Trey Murphy III UTIL Josh Giddey,,Guerschon Yabusele,PF,2.75%,14.75
74,5084097753,Mdumblewski (10/20),0,319.25,C Victor Wembanyama F Bobby Portis G Josh Giddey PF Julian Champagnie PG Tre Jones SF Ousmane Dieng SG Collin Sexton UTIL Russell Westbrook,,Collin Sexton,F,2.67%,38.5
75,5084122718,bearsden1975 (17/20),0,318.75,C Jay Huff F Pascal Siakam G Josh Giddey PF Precious Achiuwa PG Dejounte Murray SF Julian Champagnie SG Malik Monk UTIL Maxime Raynaud,,Alexandre Sarr,C,2.67%,15.5
76,5083585012,FlyBoysGangGreen (16/20),0,318.5,C Jay Huff F Jerami Grant G Josh Giddey PF Precious Achiuwa PG Russell Westbrook SF Ousmane Dieng SG Stephon Castle UTIL Maxime Raynaud,,Nique Clifford,F,2.58%,26.5
76,5083587726,mustangs2015 (2/20),0,318.5,C Victor Wembanyama F Daeqwon Plowden G Josh Giddey PF Tristan da Silva PG Russell Westbrook SF Julian Champagnie SG Malik Monk UTIL Precious Achiuwa,,Tre Jones,UTIL,2.57%,22.75
76,5083864286,Dirks_Knee (6/6),0,318.5,C Victor Wembanyama F Precious Achiuwa G Russell Westbrook PF Bobby Portis PG Tre Jones SF Ousmane Dieng SG Collin Sexton UTIL Maxime Raynaud,,Tre Jones,PG,2.44%,22.75
79,5084042529,Bergweiser (15/20),0,318.25,C Jay Huff F Toumani Camara G Stephon Castle PF Bobby Portis PG Russell Westbrook SF Ousmane Dieng SG Malik Monk UTIL Victor Wembanyama,,Devin Vassell,SF,2.40%,17.25
80,5084189493,VeryBerry69 (11/20),0,318,C Victor Wembanyama F Precious Achiuwa G Russell Westbrook PF Julian Champagnie PG Malik Monk SF Ousmane Dieng SG Trey Murphy III UTIL Jay Huff,,Leaky Black,PF,2.40%,21
81,5083952196,shmeyler (5/10),0,317.75,C Maxime Raynaud F Matas Buzelis G Josh Giddey PF Bobby Portis PG Jrue Holiday SF Ousmane Dieng SG Stephon Castle UTIL Malik Monk,,Bilal Coulibaly,PF,2.39%,12
81,5084083515,siyu798 (19/20),0,317.75,C Precious Achiuwa F Ousmane Dieng G Russell Westbrook PF Bobby Portis PG Jalen Suggs SF Saddiq Bey SG Trey Murphy III UTIL Maxime Raynaud,,Kevin Durant,F,2.29%,39.25
81,5084095795,jayballin08 (19/20),0,317.75,C Maxime Raynaud F Precious Achiuwa G Russell Westbrook PF Bobby Portis PG Tre Jones SF Ousmane Dieng SG Trey Murphy III UTIL Josh Giddey,,Jarace Walker,SF,2.26%,23.25
81,5084095796,jayballin08 (20/20),0,317.75,C Maxime Raynaud F Bobby Portis G Russell Westbrook PF Saddiq Bey PG Jalen Suggs SF Ousmane Dieng SG Trey Murphy III UTIL Precious Achiuwa,,Isaac Okoro,SG,2.24%,12.75
85,5083556590,apforadori (4/7),0,317.25,C Maxime Raynaud F Matas Buzelis G Josh Giddey PF Julian Champagnie PG Jalen Suggs SF Daeqwon Plowden SG Nique Clifford UTIL Russell Westbrook,,Jericho Sims,C,2.21%,21.75
85,5084241758,LOCNOTM (7/20),0,317.25,C Julian Reese F Precious Achiuwa G Josh Giddey PF Saddiq Bey PG Russell Westbrook SF Ousmane Dieng SG Stephon Castle UTIL Maxime Raynaud,,Collin Sexton,G,2.16%,38.5
85,5084263215,profhit (2/20),0,317.25,C Maxime Raynaud F Precious Achiuwa G Ryan Rollins PF Matas Buzelis PG Dejounte Murray SF Julian Champagnie SG Malik Monk UTIL Russell Westbrook,,Robert Williams,C,2.12%,23.75
88,5083654321,dabouch1988 (15/20),0,317,C Maxime Raynaud F Bobby Portis G Russell Westbrook PF Precious Achiuwa PG Ryan Rollins SF Julian Champagnie SG Trey Murphy III UTIL Jay Huff,,Toumani Camara,SF,2.09%,23.75
88,5083741896,davidarussellii (5/20),0,317,C Victor Wembanyama F Daeqwon Plowden G Russell Westbrook PF Precious Achiuwa PG Dejounte Murray SF Ousmane Dieng SG Malik Monk UTIL Maxime Raynaud,,Wendell Carter Jr.,C,2.07%,23.75
90,5083791771,Michaeldegg69 (20/20),0,316.5,C Victor Wembanyama F Toumani Camara G Russell Westbrook PF Saddiq Bey PG Malik Monk SF Keldon Johnson SG Tre Jones UTIL Jay Huff,,Daeqwon Plowden,PF,2.07%,23.25
90,5084153831,Costanzuh (17/20),0,316.5,C Maxime Raynaud F Julian Champagnie G Josh Giddey PF Paolo Banchero PG T.J. McConnell SF Bilal Coulibaly SG Malik Monk UTIL Russell Westbrook,,Jalen Suggs,UTIL,1.99%,29.75
92,5083585001,FlyBoysGangGreen (5/20),0,316.25,C Maxime Raynaud F Precious Achiuwa G Russell Westbrook PF Zion Williamson PG Andrew Nembhard SF Ousmane Dieng SG Malik Monk UTIL Josh Giddey,,Amen Thompson,G,1.99%,42.75
92,5084097759,Mdumblewski (16/20),0,316.25,C Alperen Sengun F Collin Sexton G Josh Giddey PF Bobby Portis PG Dejounte Murray SF Ousmane Dieng SG Malik Monk UTIL Russell Westbrook,,Trae Young,PG,1.91%,33.5
92,5084153834,Costanzuh (20/20),0,316.25,C Maxime Raynaud F Toumani Camara G Josh Giddey PF Will Riley PG T.J. McConnell SF Desmond Bane SG Malik Monk UTIL Russell Westbrook,,Desmond Bane,SF,1.89%,44.75
95,5084189495,VeryBerry69 (13/20),0,316,C Jay Huff F Ousmane Dieng G Russell Westbrook PF Precious Achiuwa PG Dejounte Murray SF Saddiq Bey SG Trey Murphy III UTIL Maxime Raynaud,,Nique Clifford,SF,1.89%,26.5
95,5084193152,seth37iso (6/20),0,316,C Jay Huff F Daeqwon Plowden G Malik Monk PF Matas Buzelis PG Dejounte Murray SF Saddiq Bey SG Trey Murphy III UTIL Josh Giddey,,T.J. McConnell,G,1.86%,15.5
95,5084270337,dblk88 (1/20),0,316,C Maxime Raynaud F Ousmane Dieng G Russell Westbrook PF Precious Achiuwa PG Dejounte Murray SF Saddiq Bey SG Trey Murphy III UTIL Jay Huff,,De'Aaron Fox,PG,1.83%,38.5
95,5084270338,dblk88 (2/20),0,316,C Maxime Raynaud F Ousmane Dieng G Russell Westbrook PF Precious Achiuwa PG Dejounte Murray SF Saddiq Bey SG Trey Murphy III UTIL Jay Huff,,Saddiq Bey,F,1.81%,44
95,5084270339,dblk88 (3/20),0,316,C Maxime Raynaud F Ousmane Dieng G Russell Westbrook PF Precious Achiuwa PG Dejounte Murray SF Saddiq Bey SG Trey Murphy III UTIL Jay Huff,,Guerschon Yabusele,C,1.79%,14.75
95,5084270340,dblk88 (4/20),0,316,C Maxime Raynaud F Ousmane Dieng G Russell Westbrook PF Precious Achiuwa PG Dejounte Murray SF Saddiq Bey SG Trey Murphy III UTIL Jay Huff,,Paolo Banchero,F,1.78%,46.75
95,5084270341,dblk88 (5/20),0,316,C Maxime Raynaud F Ousmane Dieng G Russell Westbrook PF Precious Achiuwa PG Dejounte Murray SF Saddiq Bey SG Trey Murphy III UTIL Jay Huff,,Dejounte Murray,UTIL,1.70%,32.5
95,5084270342,dblk88 (6/20),0,316,C Maxime Raynaud F Ousmane Dieng G Russell Westbrook PF Precious Achiuwa PG Dejounte Murray SF Saddiq Bey SG Trey Murphy III UTIL Jay Huff,,Justin Champagnie,SF,1.68%,0
95,5084270344,dblk88 (8/20),0,316,C Maxime Raynaud F Ousmane Dieng G Russell Westbrook PF Precious Achiuwa PG Dejounte Murray SF Saddiq Bey SG Trey Murphy III UTIL Jay Huff,,Julian Reese,C,1.65%,25.75
95,5084270346,dblk88 (10/20),0,316,C Maxime Raynaud F Ousmane Dieng G Russell Westbrook PF Precious Achiuwa PG Dejounte Murray SF Saddiq Bey SG Trey Murphy III UTIL Jay Huff,,Myles Turner,C,1.65%,6
95,5084270347,dblk88 (11/20),0,316,C Maxime Raynaud F Ousmane Dieng G Russell Westbrook PF Precious Achiuwa PG Dejounte Murray SF Saddiq Bey SG Trey Murphy III UTIL Jay Huff,,Jevon Carter,SG,1.64%,10.5
95,5084270349,dblk88 (13/20),0,316,C Maxime Raynaud F Ousmane Dieng G Russell Westbrook PF Precious Achiuwa PG Dejounte Murray SF Saddiq Bey SG Trey Murphy III UTIL Jay Huff,,Devin Vassell,F,1.61%,17.25
95,5084270351,dblk88 (15/20),0,316,C Maxime Raynaud F Ousmane Dieng G Russell Westbrook PF Precious Achiuwa PG Dejounte Murray SF Saddiq Bey SG Trey Murphy III UTIL Jay Huff,,Ousmane Dieng,UTIL,1.60%,18
95,5084270354,dblk88 (18/20),0,316,C Maxime Raynaud F Ousmane Dieng G Russell Westbrook PF Precious Achiuwa PG Dejounte Murray SF Saddiq Bey SG Trey Murphy III UTIL Jay Huff,,Leaky Black,F,1.58%,21
95,5084276920,mcglade8 (16/20),0,316,C Maxime Raynaud F Bobby Portis G Josh Giddey PF Precious Achiuwa PG Malik Monk SF Collin Sexton SG Stephon Castle UTIL Ryan Rollins,,Trey Murphy III,G,1.57%,40.25
110,5083559446,kawhisenberg (12/20),0,315.75,C Victor Wembanyama F Precious Achiuwa G Malik Monk PF Bobby Portis PG Russell Westbrook SF Ousmane Dieng SG Tre Jones UTIL Matas Buzelis,,Jarace Walker,F,1.49%,23.25
110,5083984378,hannasch90 (3/5),0,315.75,C Donovan Clingan F Precious Achiuwa G Russell Westbrook PF Bobby Portis PG Dejounte Murray SF Tristan da Silva SG Malik Monk UTIL Josh Giddey,,De'Aaron Fox,G,1.46%,38.5
110,5084096026,Artrell59 (16/20),0,315.75,C Maxime Raynaud F Bobby Portis G Malik Monk PF Saddiq Bey PG Ryan Rollins SF Ousmane Dieng SG Trey Murphy III UTIL Josh Giddey,,Toumani Camara,F,1.45%,23.75
110,5084111703,cjcabrera91 (2/3),0,315.75,C Victor Wembanyama F Precious Achiuwa G Tre Jones PF Bobby Portis PG Russell Westbrook SF Ousmane Dieng SG Malik Monk UTIL Matas Buzelis,,Nick Richards,C,1.42%,27.25
