Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (42235265),Luka Doncic,42235265,PG/G/UTIL,12200,MIN@LAL 03/10/2026 11:00PM ET,LAL,58.91
SG,Anthony Edwards (42235268),Anthony Edwards,42235268,SG/G/UTIL,9700,MIN@LAL 03/10/2026 11:00PM ET,MIN,45.43
PG,Stephen Curry (42235271),Stephen Curry,42235271,PG/G/UTIL,9000,CHI@GSW 03/10/2026 10:00PM ET,GSW,42.91
PG,LaMelo Ball (42235274),LaMelo Ball,42235274,PG/G/UTIL,8800,CHA@POR 03/10/2026 10:00PM ET,CHA,39.50
SF/PF,Deni Avdija (42235277),Deni Avdija,42235277,SF/PF/F/UTIL,8500,CHA@POR 03/10/2026 10:00PM ET,POR,44.08
PF,LeBron James (42235281),LeBron James,42235281,PF/F/UTIL,8300,MIN@LAL 03/10/2026 11:00PM ET,LAL,40.77
PG,Josh Giddey (42235284),Josh Giddey,42235284,PG/G/UTIL,8200,CHI@GSW 03/10/2026 10:00PM ET,CHI,43.94
SF,Brandon Miller (42235287),Brandon Miller,42235287,SF/F/UTIL,8100,CHA@POR 03/10/2026 10:00PM ET,CHA,36.02
PF/C,Pascal Siakam (42235290),Pascal Siakam,42235290,PF/C/F/UTIL,8000,IND@SAC 03/10/2026 10:00PM ET,IND,40.06
PF,Julius Randle (42235294),Julius Randle,42235294,PF/F/UTIL,7800,MIN@LAL 03/10/2026 11:00PM ET,MIN,40.48
PG/SG,Austin Reaves (42235297),Austin Reaves,42235297,PG/SG/G/UTIL,7800,MIN@LAL 03/10/2026 11:00PM ET,LAL,40.32
PG,Jrue Holiday (42235301),Jrue Holiday,42235301,PG/G/UTIL,7700,CHA@POR 03/10/2026 10:00PM ET,POR,34.55
C,Donovan Clingan (42235304),Donovan Clingan,42235304,C/UTIL,7600,CHA@POR 03/10/2026 10:00PM ET,POR,33.96
