Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Peyton Watson (42261129),Peyton Watson,42261129,SF/PF/F/UTIL,6800,DEN@SAS 03/12/2026 09:00PM ET,DEN,28.34
SG/SF,Jalen Green (42261133),Jalen Green,42261133,SG/SF/F/G/UTIL,6800,PHX@IND 03/12/2026 07:00PM ET,PHX,25.25
SF,Jarace Walker (42261138),Jarace Walker,42261138,SF/F/UTIL,6700,PHX@IND 03/12/2026 07:00PM ET,IND,23.20
PF,Dillon Brooks (42261145),Dillon Brooks,42261145,PF/F/UTIL,6600,PHX@IND 03/12/2026 07:00PM ET,PHX,30.78
PG/SG,Payton Pritchard (42261141),Payton Pritchard,42261141,PG/SG/G/UTIL,6600,BOS@OKC 03/12/2026 09:30PM ET,BOS,32.53
PG/SG,CJ McCollum (42261151),CJ McCollum,42261151,PG/SG/G/UTIL,6500,BKN@ATL 03/12/2026 07:30PM ET,ATL,31.12
PF,Aaron Gordon (42261160),Aaron Gordon,42261160,PF/F/UTIL,6500,DEN@SAS 03/12/2026 09:00PM ET,DEN,30.30
PG,Collin Gillespie (42261148),Collin Gillespie,42261148,PG/G/UTIL,6500,PHX@IND 03/12/2026 07:00PM ET,PHX,29.83
SG/SF,Norman Powell (42261155),Norman Powell,42261155,SG/SF/F/G/UTIL,6500,MIL@MIA 03/12/2026 07:30PM ET,MIA,33.05
PG/SG,Anthony Black (42261166),Anthony Black,42261166,PG/SG/G/UTIL,6400,WAS@ORL 03/12/2026 07:00PM ET,ORL,29.88
SG,Kyshawn George (42261170),Kyshawn George,42261170,SG/G/UTIL,6400,WAS@ORL 03/12/2026 07:00PM ET,WAS,31.47
C,Ivica Zubac (42261173),Ivica Zubac,42261173,C/UTIL,6400,PHX@IND 03/12/2026 07:00PM ET,IND,33.80
SF,Jaime Jaquez Jr. (42261163),Jaime Jaquez Jr.,42261163,SF/F/UTIL,6400,MIL@MIA 03/12/2026 07:30PM ET,MIA,30.25
PF,Andrew Wiggins (42261175),Andrew Wiggins,42261175,PF/F/UTIL,6300,MIL@MIA 03/12/2026 07:30PM ET,MIA,31.00
C,Isaiah Hartenstein (42261178),Isaiah Hartenstein,42261178,C/UTIL,6300,BOS@OKC 03/12/2026 09:30PM ET,OKC,30.07
PG,Andrew Nembhard (42261184),Andrew Nembhard,42261184,PG/G/UTIL,6200,PHX@IND 03/12/2026 07:00PM ET,IND,33.76
PF/C,Jaylin Williams (42261180),Jaylin Williams,42261180,PF/C/F/UTIL,6200,BOS@OKC 03/12/2026 09:30PM ET,OKC,21.13
C,Neemias Queta (42261187),Neemias Queta,42261187,C/UTIL,6100,BOS@OKC 03/12/2026 09:30PM ET,BOS,26.47
SF/PF,Jonathan Kuminga (42261194),Jonathan Kuminga,42261194,SF/PF/F/UTIL,6000,BKN@ATL 03/12/2026 07:30PM ET,ATL,25.94
PG/SG,Cameron Payne (42261198),Cameron Payne,42261198,PG/SG/G/UTIL,6000,PHI@DET 03/12/2026 07:00PM ET,PHI,17.41
SG,Naji Marshall (42261189),Naji Marshall,42261189,SG/G/UTIL,6000,DAL@MEM 03/12/2026 08:00PM ET,DAL,27.52
C,Kel'el Ware (42261192),Kel'el Ware,42261192,C/UTIL,6000,MIL@MIA 03/12/2026 07:30PM ET,MIA,28.54
PF,PJ Washington (42261204),PJ Washington,42261204,PF/F/UTIL,5900,DAL@MEM 03/12/2026 08:00PM ET,DAL,29.37
PF/C,Santi Aldama (42261207),Santi Aldama,42261207,PF/C/F/UTIL,5900,DAL@MEM 03/12/2026 08:00PM ET,MEM,30.25
C,Nikola Vucevic (42261202),Nikola Vucevic,42261202,C/UTIL,5900,BOS@OKC 03/12/2026 09:30PM ET,BOS,34.70
C,Nic Claxton (42261211),Nic Claxton,42261211,C/UTIL,5800,BKN@ATL 03/12/2026 07:30PM ET,BKN,30.44
SF/PF,Cameron Johnson (42261219),Cameron Johnson,42261219,SF/PF/F/UTIL,5800,DEN@SAS 03/12/2026 09:00PM ET,DEN,21.96
SF,Ausar Thompson (42261213),Ausar Thompson,42261213,SF/F/UTIL,5800,PHI@DET 03/12/2026 07:00PM ET,DET,26.87
PF,Gregory Jackson (42261216),Gregory Jackson,42261216,PF/F/UTIL,5800,DAL@MEM 03/12/2026 08:00PM ET,MEM,21.14
C,Jay Huff (42261223),Jay Huff,42261223,C/UTIL,5700,PHX@IND 03/12/2026 07:00PM ET,IND,21.58
PF/C,Bobby Portis (42261225),Bobby Portis,42261225,PF/C/F/UTIL,5700,MIL@MIA 03/12/2026 07:30PM ET,MIL,25.73
PF,Tobias Harris (42261231),Tobias Harris,42261231,PF/F/UTIL,5600,PHI@DET 03/12/2026 07:00PM ET,DET,25.47
C,Mark Williams (42261229),Mark Williams,42261229,C/UTIL,5600,PHX@IND 03/12/2026 07:00PM ET,PHX,26.62
SG,Christian Braun (42261247),Christian Braun,42261247,SG/G/UTIL,5500,DEN@SAS 03/12/2026 09:00PM ET,DEN,23.1
PF,Royce O'Neale (42261234),Royce O'Neale,42261234,PF/F/UTIL,5500,PHX@IND 03/12/2026 07:00PM ET,PHX,24.06
C,Oso Ighodaro (42261237),Oso Ighodaro,42261237,C/UTIL,5500,PHX@IND 03/12/2026 07:00PM ET,PHX,17.52
PG,Javon Small (42261244),Javon Small,42261244,PG/G/UTIL,5500,DAL@MEM 03/12/2026 08:00PM ET,MEM,19.32
SG/SF,Pelle Larsson (42261239),Pelle Larsson,42261239,SG/SF/F/G/UTIL,5500,MIL@MIA 03/12/2026 07:30PM ET,MIA,21.30
SF/PF,Will Riley (42261252),Will Riley,42261252,SF/PF/F/UTIL,5400,WAS@ORL 03/12/2026 07:00PM ET,WAS,15.36
SG,Aaron Nesmith (42261256),Aaron Nesmith,42261256,SG/G/UTIL,5400,PHX@IND 03/12/2026 07:00PM ET,IND,24.52
C,Myles Turner (42261250),Myles Turner,42261250,C/UTIL,5400,MIL@MIA 03/12/2026 07:30PM ET,MIL,26.55
C,Wendell Carter Jr. (42261259),Wendell Carter Jr.,42261259,C/UTIL,5300,WAS@ORL 03/12/2026 07:00PM ET,ORL,27.12
PG/SG,Brandon Williams (42261261),Brandon Williams,42261261,PG/SG/G/UTIL,5300,DAL@MEM 03/12/2026 08:00PM ET,DAL,24.13
SG,Cedric Coward (42261265),Cedric Coward,42261265,SG/G/UTIL,5300,DAL@MEM 03/12/2026 08:00PM ET,MEM,27.60
C,Day'Ron Sharpe (42261273),Day'Ron Sharpe,42261273,C/UTIL,5200,BKN@ATL 03/12/2026 07:30PM ET,BKN,22.88
SF,Devin Vassell (42261275),Devin Vassell,42261275,SF/F/UTIL,5200,DEN@SAS 03/12/2026 09:00PM ET,SAS,25.96
PG,Scotty Pippen Jr. (42261278),Scotty Pippen Jr.,42261278,PG/G/UTIL,5200,DAL@MEM 03/12/2026 08:00PM ET,MEM,24.95
SG/SF,Cason Wallace (42261268),Cason Wallace,42261268,SG/SF/F/G/UTIL,5200,BOS@OKC 03/12/2026 09:30PM ET,OKC,21.60
PF,Noah Clowney (42261286),Noah Clowney,42261286,PF/F/UTIL,5100,BKN@ATL 03/12/2026 07:30PM ET,BKN,23.74
SG/SF,Cam Spencer (42261281),Cam Spencer,42261281,SG/SF/F/G/UTIL,5100,DAL@MEM 03/12/2026 08:00PM ET,MEM,25.04
C,Daniel Gafford (42261299),Daniel Gafford,42261299,C/UTIL,5000,DAL@MEM 03/12/2026 08:00PM ET,DAL,22.38
PF/C,Taylor Hendricks (42261301),Taylor Hendricks,42261301,PF/C/F/UTIL,5000,DAL@MEM 03/12/2026 08:00PM ET,MEM,14.36
SF/PF,Kyle Kuzma (42261289),Kyle Kuzma,42261289,SF/PF/F/UTIL,5000,MIL@MIA 03/12/2026 07:30PM ET,MIL,25.10
PG,Davion Mitchell (42261296),Davion Mitchell,42261296,PG/G/UTIL,5000,MIL@MIA 03/12/2026 07:30PM ET,MIA,24.60
SG,Isaiah Joe (42261293),Isaiah Joe,42261293,SG/G/UTIL,5000,BOS@OKC 03/12/2026 09:30PM ET,OKC,19.37
SF/PF,Tristan da Silva (42261305),Tristan da Silva,42261305,SF/PF/F/UTIL,4900,WAS@ORL 03/12/2026 07:00PM ET,ORL,18.90
SF/PF,Bilal Coulibaly (42261313),Bilal Coulibaly,42261313,SF/PF/F/UTIL,4900,WAS@ORL 03/12/2026 07:00PM ET,WAS,24.07
PG/SG,Jordan Goodwin (42261309),Jordan Goodwin,42261309,PG/SG/G/UTIL,4900,PHX@IND 03/12/2026 07:00PM ET,PHX,21.74
PF/C,Olivier-Maxence Prosper (42261317),Olivier-Maxence Prosper,42261317,PF/C/F/UTIL,4900,DAL@MEM 03/12/2026 08:00PM ET,MEM,15.38
PF/C,Danny Wolf (42261335),Danny Wolf,42261335,PF/C/F/UTIL,4800,BKN@ATL 03/12/2026 07:30PM ET,BKN,20.53
PG/SG,Bub Carrington (42261321),Bub Carrington,42261321,PG/SG/G/UTIL,4800,WAS@ORL 03/12/2026 07:00PM ET,WAS,22.83
SF,Tim Hardaway Jr. (42261325),Tim Hardaway Jr.,42261325,SF/F/UTIL,4800,DEN@SAS 03/12/2026 09:00PM ET,DEN,21.61
SF,Jaylen Wells (42261328),Jaylen Wells,42261328,SF/F/UTIL,4800,DAL@MEM 03/12/2026 08:00PM ET,MEM,21.65
SF/PF,Khris Middleton (42261339),Khris Middleton,42261339,SF/PF/F/UTIL,4800,DAL@MEM 03/12/2026 08:00PM ET,DAL,21.90
SF/PF,Sam Hauser (42261331),Sam Hauser,42261331,SF/PF/F/UTIL,4800,BOS@OKC 03/12/2026 09:30PM ET,BOS,19.21
C,Tristan Vukcevic (42261356),Tristan Vukcevic,42261356,C/UTIL,4700,WAS@ORL 03/12/2026 07:00PM ET,WAS,15.08
SF/PF,Julian Champagnie (42261343),Julian Champagnie,42261343,SF/PF/F/UTIL,4700,DEN@SAS 03/12/2026 09:00PM ET,SAS,23.97
PF/C,Micah Potter (42261358),Micah Potter,42261358,PF/C/F/UTIL,4700,PHX@IND 03/12/2026 07:00PM ET,IND,19.70
SG,Walter Clayton Jr. (42261347),Walter Clayton Jr.,42261347,SG/G/UTIL,4700,DAL@MEM 03/12/2026 08:00PM ET,MEM,16.95
SF,Ousmane Dieng (42261353),Ousmane Dieng,42261353,SF/F/UTIL,4700,MIL@MIA 03/12/2026 07:30PM ET,MIL,12.34
PG,Ajay Mitchell (42261350),Ajay Mitchell,42261350,PG/G/UTIL,4700,BOS@OKC 03/12/2026 09:30PM ET,OKC,27.34
PF,Justin Champagnie (42261369),Justin Champagnie,42261369,PF/F/UTIL,4600,WAS@ORL 03/12/2026 07:00PM ET,WAS,19.88
PG/SG,Bruce Brown (42261362),Bruce Brown,42261362,PG/SG/G/UTIL,4600,DEN@SAS 03/12/2026 09:00PM ET,DEN,18.06
SG,Max Christie (42261366),Max Christie,42261366,SG/G/UTIL,4600,DAL@MEM 03/12/2026 08:00PM ET,DAL,22.52
SG/SF,Ziaire Williams (42261378),Ziaire Williams,42261378,SG/SF/F/G/UTIL,4500,BKN@ATL 03/12/2026 07:30PM ET,BKN,17.88
PG/SG,Tre Johnson (42261374),Tre Johnson,42261374,PG/SG/G/UTIL,4500,WAS@ORL 03/12/2026 07:00PM ET,WAS,21.39
C,Adem Bona (42261372),Adem Bona,42261372,C/UTIL,4500,PHI@DET 03/12/2026 07:00PM ET,PHI,13.38
PG/SG,Dylan Harper (42261383),Dylan Harper,42261383,PG/SG/G/UTIL,4400,DEN@SAS 03/12/2026 09:00PM ET,SAS,22.98
PF/C,Isaiah Stewart (42261387),Isaiah Stewart,42261387,PF/C/F/UTIL,4400,PHI@DET 03/12/2026 07:00PM ET,DET,21.83
C,Andre Drummond (42261395),Andre Drummond,42261395,C/UTIL,4400,PHI@DET 03/12/2026 07:00PM ET,PHI,21.44
SG/SF,Jahmai Mashack (42261397),Jahmai Mashack,42261397,SG/SF/F/G/UTIL,4400,DAL@MEM 03/12/2026 08:00PM ET,MEM,12.04
SF/PF,Aaron Wiggins (42261391),Aaron Wiggins,42261391,SF/PF/F/UTIL,4400,BOS@OKC 03/12/2026 09:30PM ET,OKC,20.23
PG,Nolan Traore (42261417),Nolan Traore,42261417,PG/G/UTIL,4300,BKN@ATL 03/12/2026 07:30PM ET,BKN,17.28
C,Goga Bitadze (42261415),Goga Bitadze,42261415,C/UTIL,4300,WAS@ORL 03/12/2026 07:00PM ET,ORL,17.16
SG/SF,Jamir Watkins (42261420),Jamir Watkins,42261420,SG/SF/F/G/UTIL,4300,WAS@ORL 03/12/2026 07:00PM ET,WAS,14.38
SG,Duncan Robinson (42261402),Duncan Robinson,42261402,SG/G/UTIL,4300,PHI@DET 03/12/2026 07:00PM ET,DET,21.08
PF/C,Dominick Barlow (42261411),Dominick Barlow,42261411,PF/C/F/UTIL,4300,PHI@DET 03/12/2026 07:00PM ET,PHI,18.60
SF,Rayan Rupert (42261408),Rayan Rupert,42261408,SF/F/UTIL,4300,DAL@MEM 03/12/2026 08:00PM ET,MEM,9.75
SG,Baylor Scheierman (42261405),Baylor Scheierman,42261405,SG/G/UTIL,4300,BOS@OKC 03/12/2026 09:30PM ET,BOS,12.29
SG,Jaden Hardy (42261436),Jaden Hardy,42261436,SG/G/UTIL,4200,WAS@ORL 03/12/2026 07:00PM ET,WAS,12.31
PF,Ronald Holland II (42261425),Ronald Holland II,42261425,PF/F/UTIL,4200,PHI@DET 03/12/2026 07:00PM ET,DET,18.71
PG,T.J. McConnell (42261433),T.J. McConnell,42261433,PG/G/UTIL,4200,PHX@IND 03/12/2026 07:00PM ET,IND,21.08
C,Marvin Bagley III (42261431),Marvin Bagley III,42261431,C/UTIL,4200,DAL@MEM 03/12/2026 08:00PM ET,DAL,22.57
PG/SG,Cam Thomas (42261439),Cam Thomas,42261439,PG/SG/G/UTIL,4200,MIL@MIA 03/12/2026 07:30PM ET,MIL,20.84
SG,Luguentz Dort (42261428),Luguentz Dort,42261428,SG/G/UTIL,4200,BOS@OKC 03/12/2026 09:30PM ET,OKC,18.59
C,Moritz Wagner (42261459),Moritz Wagner,42261459,C/UTIL,4100,WAS@ORL 03/12/2026 07:00PM ET,ORL,15.01
SG/SF,Keldon Johnson (42261443),Keldon Johnson,42261443,SG/SF/F/G/UTIL,4100,DEN@SAS 03/12/2026 09:00PM ET,SAS,23.27
PG/SG,Marcus Sasser (42261455),Marcus Sasser,42261455,PG/SG/G/UTIL,4100,PHI@DET 03/12/2026 07:00PM ET,DET,11.13
PG/SG,Kam Jones (42261451),Kam Jones,42261451,PG/SG/G/UTIL,4100,PHX@IND 03/12/2026 07:00PM ET,IND,11.06
PF,Myron Gardner (42261448),Myron Gardner,42261448,PF/F/UTIL,4100,MIL@MIA 03/12/2026 07:30PM ET,MIA,10.85
PG/SG,Jevon Carter (42261489),Jevon Carter,42261489,PG/SG/G/UTIL,4000,WAS@ORL 03/12/2026 07:00PM ET,ORL,12.17
SF/PF,Javonte Green (42261461),Javonte Green,42261461,SF/PF/F/UTIL,4000,PHI@DET 03/12/2026 07:00PM ET,DET,14.65
PF,Trendon Watford (42261483),Trendon Watford,42261483,PF/F/UTIL,4000,PHI@DET 03/12/2026 07:00PM ET,PHI,15.30
SF/PF,Kobe Brown (42261479),Kobe Brown,42261479,SF/PF/F/UTIL,4000,PHX@IND 03/12/2026 07:00PM ET,IND,9.77
SF/PF,Klay Thompson (42261469),Klay Thompson,42261469,SF/PF/F/UTIL,4000,DAL@MEM 03/12/2026 08:00PM ET,DAL,19.34
PG/SG,AJ Green (42261465),AJ Green,42261465,PG/SG/G/UTIL,4000,MIL@MIA 03/12/2026 07:30PM ET,MIL,17.98
C,Jericho Sims (42261477),Jericho Sims,42261477,C/UTIL,4000,MIL@MIA 03/12/2026 07:30PM ET,MIL,12.44
PG,Kasparas Jakucionis (42261486),Kasparas Jakucionis,42261486,PG/G/UTIL,4000,MIL@MIA 03/12/2026 07:30PM ET,MIA,14.41
PG/SG,Jared McCain (42261473),Jared McCain,42261473,PG/SG/G/UTIL,4000,BOS@OKC 03/12/2026 09:30PM ET,OKC,14.54
SF/PF,Noah Penda (42261505),Noah Penda,42261505,SF/PF/F/UTIL,3900,WAS@ORL 03/12/2026 07:00PM ET,ORL,12.7
C,Anthony Gill (42261514),Anthony Gill,42261514,C/UTIL,3900,WAS@ORL 03/12/2026 07:00PM ET,WAS,9.61
SF/PF,Leaky Black (42261521),Leaky Black,42261521,SF/PF/F/UTIL,3900,WAS@ORL 03/12/2026 07:00PM ET,WAS,21.06
SG/SF,Julian Strawther (42261509),Julian Strawther,42261509,SG/SF/F/G/UTIL,3900,DEN@SAS 03/12/2026 09:00PM ET,DEN,12.24
SG/SF,Kevin Huerter (42261496),Kevin Huerter,42261496,SG/SF/F/G/UTIL,3900,PHI@DET 03/12/2026 07:00PM ET,DET,20.88
SG/SF,Quenton Jackson (42261516),Quenton Jackson,42261516,SG/SF/F/G/UTIL,3900,PHX@IND 03/12/2026 07:00PM ET,IND,16.26
PG,Dru Smith (42261493),Dru Smith,42261493,PG/G/UTIL,3900,MIL@MIA 03/12/2026 07:30PM ET,MIA,16.76
PF/C,Kenrich Williams (42261501),Kenrich Williams,42261501,PF/C/F/UTIL,3900,BOS@OKC 03/12/2026 09:30PM ET,OKC,14.17
SF,Zaccharie Risacher (42261537),Zaccharie Risacher,42261537,SF/F/UTIL,3800,BKN@ATL 03/12/2026 07:30PM ET,ATL,19.79
SG/SF,Jett Howard (42261543),Jett Howard,42261543,SG/SF/F/G/UTIL,3800,WAS@ORL 03/12/2026 07:00PM ET,ORL,9.62
SF/PF,Jabari Walker (42261530),Jabari Walker,42261530,SF/PF/F/UTIL,3800,PHI@DET 03/12/2026 07:00PM ET,PHI,10.34
PG,Daniss Jenkins (42261534),Daniss Jenkins,42261534,PG/G/UTIL,3800,PHI@DET 03/12/2026 07:00PM ET,DET,16.39
PF,Simone Fontecchio (42261525),Simone Fontecchio,42261525,PF/F/UTIL,3800,MIL@MIA 03/12/2026 07:30PM ET,MIA,16.45
C,Luka Garza (42261528),Luka Garza,42261528,C/UTIL,3800,BOS@OKC 03/12/2026 09:30PM ET,BOS,15.15
SF,Alex Caruso (42261540),Alex Caruso,42261540,SF/F/UTIL,3800,BOS@OKC 03/12/2026 09:30PM ET,OKC,16.25
C,Jock Landale (42261551),Jock Landale,42261551,C/UTIL,3700,BKN@ATL 03/12/2026 07:30PM ET,ATL,23.25
PG,Ben Saraf (42261558),Ben Saraf,42261558,PG/G/UTIL,3700,BKN@ATL 03/12/2026 07:30PM ET,BKN,12.39
C,Julian Reese (42261565),Julian Reese,42261565,C/UTIL,3700,WAS@ORL 03/12/2026 07:00PM ET,WAS,27.06
PG,Tyus Jones (42261548),Tyus Jones,42261548,PG/G/UTIL,3700,DEN@SAS 03/12/2026 09:00PM ET,DEN,9.63
SG/SF,Ben Sheppard (42261553),Ben Sheppard,42261553,SG/SF/F/G/UTIL,3700,PHX@IND 03/12/2026 07:00PM ET,IND,15.15
PF/C,Obi Toppin (42261561),Obi Toppin,42261561,PF/C/F/UTIL,3700,PHX@IND 03/12/2026 07:00PM ET,IND,17.11
PG/SG,Terance Mann (42261567),Terance Mann,42261567,PG/SG/G/UTIL,3600,BKN@ATL 03/12/2026 07:30PM ET,BKN,18.06
PF,Spencer Jones (42261571),Spencer Jones,42261571,PF/F/UTIL,3600,DEN@SAS 03/12/2026 09:00PM ET,DEN,13.61
SF,Justin Edwards (42261574),Justin Edwards,42261574,SF/F/UTIL,3600,PHI@DET 03/12/2026 07:00PM ET,PHI,10.28
C,Khaman Maluach (42261579),Khaman Maluach,42261579,C/UTIL,3600,PHX@IND 03/12/2026 07:00PM ET,PHX,5.75
C,Dwight Powell (42261577),Dwight Powell,42261577,C/UTIL,3600,DAL@MEM 03/12/2026 08:00PM ET,DAL,10.72
SG,Drake Powell (42261587),Drake Powell,42261587,SG/G/UTIL,3500,BKN@ATL 03/12/2026 07:30PM ET,BKN,11.59
PG,Sharife Cooper (42261601),Sharife Cooper,42261601,PG/G/UTIL,3500,WAS@ORL 03/12/2026 07:00PM ET,WAS,13.74
C,Jonas Valanciunas (42261585),Jonas Valanciunas,42261585,C/UTIL,3500,DEN@SAS 03/12/2026 09:00PM ET,DEN,17.81
PG/SG,Caris LeVert (42261594),Caris LeVert,42261594,PG/SG/G/UTIL,3500,PHI@DET 03/12/2026 07:00PM ET,DET,16.26
SF,Dalen Terry (42261598),Dalen Terry,42261598,SF/F/UTIL,3500,PHI@DET 03/12/2026 07:00PM ET,PHI,9.8
SF/PF,Ryan Dunn (42261581),Ryan Dunn,42261581,SF/PF/F/UTIL,3500,PHX@IND 03/12/2026 07:00PM ET,PHX,15.42
PF/C,Nikola Jovic (42261590),Nikola Jovic,42261590,PF/C/F/UTIL,3500,MIL@MIA 03/12/2026 07:30PM ET,MIA,16.77
SF/PF,Ron Harper Jr. (42261604),Ron Harper Jr.,42261604,SF/PF/F/UTIL,3500,BOS@OKC 03/12/2026 09:30PM ET,BOS,8.97
SG/SF,Ochai Agbaji (42261611),Ochai Agbaji,42261611,SG/SF/F/G/UTIL,3400,BKN@ATL 03/12/2026 07:30PM ET,BKN,10.12
PF,Harrison Barnes (42261608),Harrison Barnes,42261608,PF/F/UTIL,3400,DEN@SAS 03/12/2026 09:00PM ET,SAS,19.07
C,Paul Reed (42261616),Paul Reed,42261616,C/UTIL,3400,PHI@DET 03/12/2026 07:00PM ET,DET,17.28
