Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (42260996),Nikola Jokic,42260996,C/UTIL,12500,DEN@SAS 03/12/2026 09:00PM ET,DEN,64.87
PG,Shai Gilgeous-Alexander (42260998),Shai Gilgeous-Alexander,42260998,PG/G/UTIL,11200,BOS@OKC 03/12/2026 09:30PM ET,OKC,51.43
C,Victor Wembanyama (42261001),Victor Wembanyama,42261001,C/UTIL,11000,DEN@SAS 03/12/2026 09:00PM ET,SAS,49.80
PG,Cade Cunningham (42261003),Cade Cunningham,42261003,PG/G/UTIL,10900,PHI@DET 03/12/2026 07:00PM ET,DET,50.93
PF,Jalen Johnson (42261006),Jalen Johnson,42261006,PF/F/UTIL,10800,BKN@ATL 03/12/2026 07:30PM ET,ATL,50.8
PF,Giannis Antetokounmpo (42261009),Giannis Antetokounmpo,42261009,PF/F/UTIL,10500,MIL@MIA 03/12/2026 07:30PM ET,MIL,50.43
PG,Tyrese Maxey (42261012),Tyrese Maxey,42261012,PG/G/UTIL,10100,PHI@DET 03/12/2026 07:00PM ET,PHI,49.06
C,Bam Adebayo (42261015),Bam Adebayo,42261015,C/UTIL,9900,MIL@MIA 03/12/2026 07:30PM ET,MIA,40.92
C,Joel Embiid (42261017),Joel Embiid,42261017,C/UTIL,9600,PHI@DET 03/12/2026 07:00PM ET,PHI,44.95
PF,Paolo Banchero (42261019),Paolo Banchero,42261019,PF/F/UTIL,9500,WAS@ORL 03/12/2026 07:00PM ET,ORL,42.86
SG/SF,Jaylen Brown (42261022),Jaylen Brown,42261022,SG/SF/F/G/UTIL,9300,BOS@OKC 03/12/2026 09:30PM ET,BOS,46.30
PG,Jamal Murray (42261027),Jamal Murray,42261027,PG/G/UTIL,9000,DEN@SAS 03/12/2026 09:00PM ET,DEN,44.03
PG/SG,Devin Booker (42261030),Devin Booker,42261030,PG/SG/G/UTIL,8800,PHX@IND 03/12/2026 07:00PM ET,PHX,39.70
PF,Chet Holmgren (42261034),Chet Holmgren,42261034,PF/F/UTIL,8700,BOS@OKC 03/12/2026 09:30PM ET,OKC,35.41
PG/SF,Cooper Flagg (42261037),Cooper Flagg,42261037,PG/SF/F/G/UTIL,8500,DAL@MEM 03/12/2026 08:00PM ET,DAL,38.52
PG,Ja Morant (42261042),Ja Morant,42261042,PG/G/UTIL,8400,DAL@MEM 03/12/2026 08:00PM ET,MEM,37.51
PF,Jayson Tatum (42261045),Jayson Tatum,42261045,PF/F/UTIL,8300,BOS@OKC 03/12/2026 09:30PM ET,BOS,36.83
SF,Jalen Williams (42261048),Jalen Williams,42261048,SF/F/UTIL,8200,BOS@OKC 03/12/2026 09:30PM ET,OKC,34.16
SG,VJ Edgecombe (42261054),VJ Edgecombe,42261054,SG/G/UTIL,8100,PHI@DET 03/12/2026 07:00PM ET,PHI,32.40
PG,Ryan Rollins (42261051),Ryan Rollins,42261051,PG/G/UTIL,8100,MIL@MIA 03/12/2026 07:30PM ET,MIL,34.56
C,Anthony Davis (42261064),Anthony Davis,42261064,C/UTIL,8000,WAS@ORL 03/12/2026 07:00PM ET,WAS,44.06
PF/C,Pascal Siakam (42261060),Pascal Siakam,42261060,PF/C/F/UTIL,8000,PHX@IND 03/12/2026 07:00PM ET,IND,40.06
PG,Derrick White (42261057),Derrick White,42261057,PG/G/UTIL,8000,BOS@OKC 03/12/2026 09:30PM ET,BOS,37.37
PG,Trae Young (42261072),Trae Young,42261072,PG/G/UTIL,7900,WAS@ORL 03/12/2026 07:00PM ET,WAS,35.65
C,Jalen Duren (42261066),Jalen Duren,42261066,C/UTIL,7900,PHI@DET 03/12/2026 07:00PM ET,DET,36.96
PG/SG,Tyler Herro (42261068),Tyler Herro,42261068,PG/SG/G/UTIL,7900,MIL@MIA 03/12/2026 07:30PM ET,MIA,35.91
SF,Michael Porter Jr. (42261075),Michael Porter Jr.,42261075,SF/F/UTIL,7800,BKN@ATL 03/12/2026 07:30PM ET,BKN,41.07
PG/SG,Kevin Porter Jr. (42261078),Kevin Porter Jr.,42261078,PG/SG/G/UTIL,7800,MIL@MIA 03/12/2026 07:30PM ET,MIL,40.11
SG/SF,Desmond Bane (42261082),Desmond Bane,42261082,SG/SF/F/G/UTIL,7700,WAS@ORL 03/12/2026 07:00PM ET,ORL,35.13
C,Onyeka Okongwu (42261087),Onyeka Okongwu,42261087,C/UTIL,7600,BKN@ATL 03/12/2026 07:30PM ET,ATL,35.72
SF,Franz Wagner (42261089),Franz Wagner,42261089,SF/F/UTIL,7500,WAS@ORL 03/12/2026 07:00PM ET,ORL,36.56
PG/SG,Quentin Grimes (42261092),Quentin Grimes,42261092,PG/SG/G/UTIL,7400,PHI@DET 03/12/2026 07:00PM ET,PHI,25.13
PG/SG,Nickeil Alexander-Walker (42261096),Nickeil Alexander-Walker,42261096,PG/SG/G/UTIL,7300,BKN@ATL 03/12/2026 07:30PM ET,ATL,34.03
SG/SF,Grayson Allen (42261100),Grayson Allen,42261100,SG/SF/F/G/UTIL,7300,PHX@IND 03/12/2026 07:00PM ET,PHX,31.59
SG,Stephon Castle (42261105),Stephon Castle,42261105,SG/G/UTIL,7200,DEN@SAS 03/12/2026 09:00PM ET,SAS,35.61
PG,Jalen Suggs (42261113),Jalen Suggs,42261113,PG/G/UTIL,7100,WAS@ORL 03/12/2026 07:00PM ET,ORL,31.59
SG/SF,Kelly Oubre Jr. (42261108),Kelly Oubre Jr.,42261108,SG/SF/F/G/UTIL,7100,PHI@DET 03/12/2026 07:00PM ET,PHI,27.38
PG,Ty Jerome (42261116),Ty Jerome,42261116,PG/G/UTIL,7000,DAL@MEM 03/12/2026 08:00PM ET,MEM,35.18
C,Alexandre Sarr (42261122),Alexandre Sarr,42261122,C/UTIL,6900,WAS@ORL 03/12/2026 07:00PM ET,WAS,36.47
PG,De'Aaron Fox (42261119),De'Aaron Fox,42261119,PG/G/UTIL,6900,DEN@SAS 03/12/2026 09:00PM ET,SAS,34.85
SG/SF,Dyson Daniels (42261124),Dyson Daniels,42261124,SG/SF/F/G/UTIL,6800,BKN@ATL 03/12/2026 07:30PM ET,ATL,33.15
