Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5085456851,hootiehightower32 (13/20),0,420.25,C Bam Adebayo F Jalen Johnson G Kasparas Jakucionis PF Simone Fontecchio PG Dru Smith SF Kyle Kuzma SG Cameron Payne UTIL Victor Wembanyama,,Bam Adebayo,C,47.89%,107.75
1,5085497498,benp34 (1/20),0,420.25,C Bam Adebayo F Jalen Johnson G Dru Smith PF Simone Fontecchio PG Kasparas Jakucionis SF Kyle Kuzma SG Cameron Payne UTIL Victor Wembanyama,,Jaime Jaquez Jr.,SF,38.76%,25
3,5085593338,bagwell77 (2/20),0,413.75,C Bam Adebayo F Simone Fontecchio G Cameron Payne PF Jalen Johnson PG Derrick White SF Ousmane Dieng SG Dyson Daniels UTIL Myron Gardner,,Jalen Johnson,PF,26.35%,54.25
4,5085593344,bagwell77 (8/20),0,407,C Bam Adebayo F Jalen Johnson G Cameron Payne PF Myron Gardner PG Derrick White SF Ousmane Dieng SG Dyson Daniels UTIL Dru Smith,,Kasparas Jakucionis,PG,18.71%,23.75
5,5085476280,SHININ (16/20),0,405.75,C Bam Adebayo F Danny Wolf G De'Aaron Fox PF Simone Fontecchio PG Nickeil Alexander-Walker SF Dyson Daniels SG Cameron Payne UTIL Jayson Tatum,,Simone Fontecchio,PF,17.23%,30
5,5085502314,InsertCleverPhrase (18/20),0,405.75,C Jalen Duren F Simone Fontecchio G Derrick White PF Trendon Watford PG Cameron Payne SF Dyson Daniels SG Stephon Castle UTIL Bam Adebayo,,Kasparas Jakucionis,G,15.68%,23.75
7,5085564426,leotaylor2002 (18/20),0,405,C Bam Adebayo F Kyle Kuzma G Javon Small PF Simone Fontecchio PG Derrick White SF Dyson Daniels SG Cedric Coward UTIL Devin Booker,,Myron Gardner,PF,14.63%,22
8,5085229790,cantbstopped5deuce (12/20),0,404.75,C Bam Adebayo F Jalen Johnson G Ty Jerome PF Simone Fontecchio PG Javon Small SF Kelly Oubre Jr. SG Cameron Payne UTIL Dru Smith,,Dru Smith,PG,14.61%,23.25
9,5085535723,DivineGlory (4/20),0,402.5,C Bam Adebayo F Kevin Durant G Kasparas Jakucionis PF Simone Fontecchio PG Dru Smith SF Kyle Kuzma SG Kelly Oubre Jr. UTIL Victor Wembanyama,,Jalen Johnson,F,14.04%,54.25
10,5085653476,Nails86 (3/8),0,401.25,C Onyeka Okongwu F Royce O'Neale G VJ Edgecombe PF Trendon Watford PG Cameron Payne SF Kyle Kuzma SG Quentin Grimes UTIL Bam Adebayo,,Dru Smith,G,13.88%,23.25
