PG,SG,SF,PF,C,G,F,UTIL
Cade Cunningham (42261003),Jett Howard (42261543),Justin Edwards (42261574),Giannis Antetokounmpo (42261009),Goga Bitadze (42261415),Drake Powell (42261587),Keshad Johnson (42261639),Bam Adebayo (42261015)
Shai Gilgeous-Alexander (42260998),AJ Johnson (42261743),John Poulakidas (42261890),Kelly Olynyk (42261747),DaRon Holmes II (42261801),Cade Cunningham (42261003),Amir Coffey (42261740),Nikola Jokic (42260996)
Shai Gilgeous-Alexander (42260998),Jett Howard (42261543),John Poulakidas (42261890),Kelly Olynyk (42261747),Mason Plumlee (42261813),Tyus Jones (42261548),Jalen Johnson (42261006),Victor Wembanyama (42261001)
KJ Simpson (42261807),Cam Thomas (42261439),Keshad Johnson (42261639),Jalen Johnson (42261006),Nikola Jokic (42260996),John Poulakidas (42261890),Jonathan Isaac (42261627),Bam Adebayo (42261015)
Cade Cunningham (42261003),AJ Johnson (42261743),Jalen Slawson (42261695),Giannis Antetokounmpo (42261009),Nikola Jokic (42260996),Jett Howard (42261543),Kelly Olynyk (42261747),DaRon Holmes II (42261801)
Tyus Jones (42261548),Jase Richardson (42261723),Keshad Johnson (42261639),Jalen Slawson (42261695),Mason Plumlee (42261813),Cade Cunningham (42261003),Giannis Antetokounmpo (42261009),Nikola Jokic (42260996)
Cade Cunningham (42261003),John Poulakidas (42261890),Noah Penda (42261505),Giannis Antetokounmpo (42261009),Victor Wembanyama (42261001),KJ Simpson (42261807),David Roddy (42261884),Goga Bitadze (42261415)
Cade Cunningham (42261003),Quentin Grimes (42261092),Desmond Bane (42261082),Asa Newell (42261736),Mason Plumlee (42261813),Jett Howard (42261543),Jonathan Isaac (42261627),Giannis Antetokounmpo (42261009)
Jamal Murray (42261027),Jett Howard (42261543),John Poulakidas (42261890),Jonathan Isaac (42261627),Goga Bitadze (42261415),Cade Cunningham (42261003),David Roddy (42261884),Nikola Jokic (42260996)
Cade Cunningham (42261003),AJ Johnson (42261743),Cooper Flagg (42261037),Paolo Banchero (42261019),DaRon Holmes II (42261801),Devin Booker (42261030),John Poulakidas (42261890),Kelly Olynyk (42261747)
Cade Cunningham (42261003),John Poulakidas (42261890),Keshad Johnson (42261639),Kelly Olynyk (42261747),Nikola Jokic (42260996),KJ Simpson (42261807),Giannis Antetokounmpo (42261009),Dalen Terry (42261598)
Andrew Nembhard (42261184),Marjon Beauchamp (42261875),Jaylen Brown (42261022),Josh Minott (42261661),Wendell Carter Jr. (42261259),Desmond Bane (42261082),Jalen Johnson (42261006),Goga Bitadze (42261415)
Cade Cunningham (42261003),Gary Harris (42261731),Keshad Johnson (42261639),David Roddy (42261884),DaRon Holmes II (42261801),AJ Johnson (42261743),Jalen Johnson (42261006),Nikola Jokic (42260996)
Shai Gilgeous-Alexander (42260998),Desmond Bane (42261082),Keshad Johnson (42261639),Tristan da Silva (42261305),Julian Reese (42261565),Jaylen Brown (42261022),Marjon Beauchamp (42261875),Alexandre Sarr (42261122)
Keshon Gilbert (42261869),Jett Howard (42261543),Keshad Johnson (42261639),Jalen Johnson (42261006),Asa Newell (42261736),Shai Gilgeous-Alexander (42260998),Dalen Terry (42261598),Cade Cunningham (42261003)
Shai Gilgeous-Alexander (42260998),Desmond Bane (42261082),Julian Champagnie (42261343),Danny Wolf (42261335),Julian Reese (42261565),Taelon Peter (42261665),Leaky Black (42261521),Jalen Johnson (42261006)
AJ Johnson (42261743),Jaylen Brown (42261022),Cooper Flagg (42261037),Asa Newell (42261736),Mason Plumlee (42261813),Jamal Murray (42261027),Jalen Johnson (42261006),DaRon Holmes II (42261801)
Keaton Wallace (42261720),Jett Howard (42261543),Jalen Slawson (42261695),Jalen Johnson (42261006),Jonathan Isaac (42261627),RayJ Dennis (42261810),Giannis Antetokounmpo (42261009),Nikola Jokic (42260996)
Jase Richardson (42261723),Drake Powell (42261587),Haywood Highsmith (42261679),Giannis Antetokounmpo (42261009),DaRon Holmes II (42261801),KJ Simpson (42261807),Jalen Johnson (42261006),Nikola Jokic (42260996)
Shai Gilgeous-Alexander (42260998),John Poulakidas (42261890),Taurean Prince (42261676),Giannis Antetokounmpo (42261009),Victor Wembanyama (42261001),Tyus Jones (42261548),Noah Penda (42261505),KJ Simpson (42261807)
Shai Gilgeous-Alexander (42260998),Jett Howard (42261543),John Poulakidas (42261890),Giannis Antetokounmpo (42261009),Jonathan Isaac (42261627),AJ Johnson (42261743),Noah Penda (42261505),Cade Cunningham (42261003)
