Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
25,5086854652,Danny_9114 (15/20),0,357.75,C Nikola Jokic F Gregory Jackson G Jalen Green PF Olivier-Maxence Prosper PG Javon Small SF Justin Edwards SG Ethan Thompson UTIL Stephon Castle,,Gregory Jackson,PF,6.84%,31
25,5087248314,oldangrygamer (14/20),0,357.75,C Nikola Jokic F Bilal Coulibaly G Baylor Scheierman PF Trendon Watford PG De'Aaron Fox SF Tristan da Silva SG Desmond Bane UTIL Khris Middleton,,Devin Booker,SG,6.83%,64.25
27,5087168514,Choboy (8/20),0,357,C Daniel Gafford F Olivier-Maxence Prosper G Stephon Castle PF Danny Wolf PG Javon Small SF Tristan da Silva SG Jahmai Mashack UTIL Nikola Jokic,,Jaylen Brown,SG,6.44%,55.5
28,5086848298,zandwich (18/20),0,356.75,C Daniel Gafford F Jaylen Wells G Javon Small PF Olivier-Maxence Prosper PG Ethan Thompson SF Tristan da Silva SG Jaylen Brown UTIL Nikola Jokic,,Jabari Walker,SF,6.27%,20.25
28,5087214096,olivrae1 (1/20),0,356.75,C Olivier-Maxence Prosper F Josh Minott G Javon Small PF Gregory Jackson PG Shai Gilgeous-Alexander SF Jalen Green SG Brandon Williams UTIL Stephon Castle,,Stephon Castle,SG,6.07%,64.25
30,5087128102,Mdumblewski (18/20),0,356.25,C Olivier-Maxence Prosper F Rayan Rupert G Javon Small PF Taylor Hendricks PG Ethan Thompson SF Jalen Green SG Stephon Castle UTIL Nikola Jokic,,Jalen Duren,C,5.99%,33
31,5086901110,worksit1 (10/20),0,355.5,C Taylor Hendricks F Olivier-Maxence Prosper G De'Aaron Fox PF Josh Minott PG Ethan Thompson SF Desmond Bane SG Jalen Green UTIL Nikola Jokic,,Ethan Thompson,PG,5.78%,18.5
31,5087250622,spendstermcg (3/5),0,355.5,C Nikola Jokic F Jaylen Wells G Ajay Mitchell PF Gregory Jackson PG Javon Small SF Rayan Rupert SG Stephon Castle UTIL Daniel Gafford,,Desmond Bane,SF,5.68%,38.75
33,5087077379,lkaragjo12 (18/20),0,355.25,C Wendell Carter Jr. F Olivier-Maxence Prosper G Javon Small PF Danny Wolf PG Ethan Thompson SF Jalen Green SG Stephon Castle UTIL Nikola Jokic,,Devin Booker,PG,5.61%,64.25
33,5087105990,antp (10/20),0,355.25,C Wendell Carter Jr. F Olivier-Maxence Prosper G De'Aaron Fox PF Danny Wolf PG Kasparas Jakucionis SF Rayan Rupert SG Stephon Castle UTIL Nikola Jokic,,Daniel Gafford,C,5.48%,43.5
33,5087220181,edb11 (2/4),0,355.25,C Daniel Gafford F Jaylen Wells G Stephon Castle PF Gregory Jackson PG Javon Small SF Rayan Rupert SG Dylan Harper UTIL Nikola Jokic,,Jalen Green,SF,5.34%,52.75
36,5087147646,MelBaez (6/20),0,354.5,C Wendell Carter Jr. F Gregory Jackson G Dylan Harper PF Danny Wolf PG Javon Small SF Tristan da Silva SG Jalen Green UTIL Nikola Jokic,,Rayan Rupert,F,5.27%,26.75
37,5087145399,DivineGlory (6/20),0,354.25,C Nikola Jokic F Jaylen Wells G Javon Small PF Gregory Jackson PG Ethan Thompson SF Jalen Green SG Stephon Castle UTIL Rayan Rupert,,De'Aaron Fox,PG,5.22%,46.25
37,5087161866,achellappa (14/20),0,354.25,C Olivier-Maxence Prosper F Gregory Jackson G De'Aaron Fox PF Josh Minott PG Ethan Thompson SF Jaylen Wells SG Devin Booker UTIL Nikola Jokic,,Cooper Flagg,G,5.20%,32.5
39,5087188051,Briancohen2 (11/20),0,353.75,C Danny Wolf F Rayan Rupert G Javon Small PF Tristan da Silva PG Ben Saraf SF Jalen Green SG Stephon Castle UTIL Nikola Jokic,,Olivier-Maxence Prosper,PF,5.20%,28
39,5087251196,az350z (3/20),0,353.75,C Daniel Gafford F Olivier-Maxence Prosper G Javon Small PF Gregory Jackson PG Kasparas Jakucionis SF Rayan Rupert SG Stephon Castle UTIL Nikola Jokic,,Cooper Flagg,SF,4.85%,32.5
41,5087133304,ayt1688 (16/20),0,353,C Wendell Carter Jr. F Olivier-Maxence Prosper G Javon Small PF Jabari Walker PG Dru Smith SF Jalen Green SG Stephon Castle UTIL Nikola Jokic,,Ben Saraf,PG,4.55%,14.75
41,5087137626,csvt2354 (6/20),0,353,C Marvin Bagley III F Olivier-Maxence Prosper G Stephon Castle PF Trendon Watford PG Javon Small SF Tristan da Silva SG Jalen Green UTIL Nikola Jokic,,Collin Gillespie,PG,4.52%,21.25
41,5087159861,moldova (6/20),0,353,C Wendell Carter Jr. F Taylor Hendricks G Javon Small PF Danny Wolf PG Jalen Suggs SF Jalen Green SG Ethan Thompson UTIL Nikola Jokic,,Jaylen Wells,F,4.43%,36
41,5087168521,Choboy (15/20),0,353,C Marvin Bagley III F Olivier-Maxence Prosper G Stephon Castle PF Trendon Watford PG Javon Small SF Tristan da Silva SG Jalen Green UTIL Nikola Jokic,,Jaime Jaquez Jr.,SF,4.39%,21.5
41,5087170756,mrod2 (1/20),0,353,C Daniel Gafford F Tristan da Silva G Jamal Murray PF Gregory Jackson PG Javon Small SF Desmond Bane SG Jalen Green UTIL Wendell Carter Jr.,,Marvin Bagley III,C,4.25%,21.25
46,5086989451,StackyVengeance (12/20),0,352.75,C Olivier-Maxence Prosper F Jaylen Wells G Javon Small PF Trendon Watford PG Kasparas Jakucionis SF Jalen Green SG Stephon Castle UTIL Nikola Jokic,,Dominick Barlow,PF,4.19%,22
46,5087062134,sach2 (1/2),0,352.75,C Wendell Carter Jr. F Desmond Bane G Javon Small PF Gregory Jackson PG De'Aaron Fox SF Jaylen Wells SG Jalen Green UTIL Stephon Castle,,Jaylen Brown,G,4.11%,55.5
48,5086845501,pickens81 (14/20),0,352.5,C Daniel Gafford F Rayan Rupert G Stephon Castle PF Danny Wolf PG Javon Small SF Jabari Walker SG Jalen Green UTIL Nikola Jokic,,Trendon Watford,F,3.88%,11.5
48,5087199166,Bsaun32 (4/20),0,352.5,C Olivier-Maxence Prosper F Rayan Rupert G De'Aaron Fox PF Danny Wolf PG Javon Small SF Josh Minott SG Stephon Castle UTIL Nikola Jokic,,Kasparas Jakucionis,PG,3.85%,35.25
48,5087248317,oldangrygamer (17/20),0,352.5,C Wendell Carter Jr. F Bilal Coulibaly G Baylor Scheierman PF Tristan da Silva PG De'Aaron Fox SF Devin Vassell SG Naji Marshall UTIL Nikola Jokic,,Cooper Flagg,PG,3.80%,32.5
51,5087219042,traceyxdaxgreat (7/16),0,351.5,C Wendell Carter Jr. F Olivier-Maxence Prosper G Dylan Harper PF Danny Wolf PG Javon Small SF Tristan da Silva SG Jalen Green UTIL Nikola Jokic,,Olivier-Maxence Prosper,UTIL,3.75%,28
52,5087001230,mindofnostrezz (14/20),0,351.25,C Nikola Jokic F Jaylen Wells G Christian Braun PF Olivier-Maxence Prosper PG Javon Small SF Rayan Rupert SG Stephon Castle UTIL Daniel Gafford,,Ajay Mitchell,G,3.70%,29
52,5087031526,worldof_atlas (16/20),0,351.25,C Nikola Jokic F Olivier-Maxence Prosper G Kasparas Jakucionis PF Taylor Hendricks PG Jalen Suggs SF Jabari Walker SG Jalen Green UTIL Javon Small,,Jalen Johnson,PF,3.70%,50.75
54,5086769002,siyu798 (18/20),0,350.5,C Wendell Carter Jr. F Jalen Green G De'Aaron Fox PF Dominick Barlow PG Ethan Thompson SF Kobe Brown SG Stephon Castle UTIL Nikola Jokic,,Andrew Nembhard,PG,3.60%,29
54,5087019536,baltimoretarheels (7/10),0,350.5,C Nikola Jokic F Tristan da Silva G Dylan Harper PF Jaylin Williams PG Javon Small SF Khris Middleton SG Stephon Castle UTIL Marvin Bagley III,,Dominick Barlow,C,3.55%,22
54,5087194210,Flawlessjoc (17/20),0,350.5,C Olivier-Maxence Prosper F Rayan Rupert G Javon Small PF Trendon Watford PG Devin Booker SF Josh Minott SG Jalen Green UTIL Nikola Jokic,,Stephon Castle,G,3.53%,64.25
57,5087147651,MelBaez (11/20),0,350.25,C Danny Wolf F Jaylen Wells G De'Aaron Fox PF Olivier-Maxence Prosper PG Javon Small SF Josh Minott SG Jalen Green UTIL Nikola Jokic,,Jalen Suggs,PG,3.50%,49
57,5087210880,jmoore713 (9/10),0,350.25,C Nikola Jokic F Keldon Johnson G Davion Mitchell PF Tristan da Silva PG De'Aaron Fox SF Devin Vassell SG Stephon Castle UTIL Marvin Bagley III,,Shai Gilgeous-Alexander,PG,3.45%,65
59,5087018041,GQ1NYC (15/20),0,350,C Wendell Carter Jr. F Jaylen Wells G De'Aaron Fox PF Trendon Watford PG Javon Small SF Jabari Walker SG Stephon Castle UTIL Nikola Jokic,,Kobe Brown,SF,3.45%,12
60,5087149997,comets1234 (19/20),0,349.75,C Nikola Jokic F Taylor Hendricks G Ben Saraf PF Olivier-Maxence Prosper PG Devin Booker SF Zaccharie Risacher SG Baylor Scheierman UTIL De'Aaron Fox,,Bam Adebayo,C,3.42%,35
60,5087230731,stayeduptolate (20/20),0,349.75,C Wendell Carter Jr. F Gregory Jackson G Javon Small PF Trendon Watford PG Kasparas Jakucionis SF Jaylen Wells SG Stephon Castle UTIL Nikola Jokic,,Jaylen Brown,UTIL,3.29%,55.5
62,5087010644,engelg (20/20),0,349.5,C Olivier-Maxence Prosper F Jaylen Wells G Jalen Green PF Gregory Jackson PG Jamal Murray SF Josh Minott SG Ethan Thompson UTIL Nikola Jokic,,Justin Edwards,SF,3.26%,38.25
62,5087206093,grump65 (3/20),0,349.5,C Olivier-Maxence Prosper F Rayan Rupert G Javon Small PF Gregory Jackson PG Kasparas Jakucionis SF Zaccharie Risacher SG Devin Booker UTIL Nikola Jokic,,CJ McCollum,SG,3.15%,22.5
64,5086577921,Minlaian1000 (4/20),0,349.25,C Marvin Bagley III F Gregory Jackson G Javon Small PF Olivier-Maxence Prosper PG Jalen Suggs SF Josh Minott SG Jalen Green UTIL Nikola Jokic,,Tristan da Silva,PF,3.09%,50.25
64,5087018037,GQ1NYC (11/20),0,349.25,C Marvin Bagley III F Gregory Jackson G Javon Small PF Olivier-Maxence Prosper PG Jalen Suggs SF Josh Minott SG Jalen Green UTIL Nikola Jokic,,Dylan Harper,SG,3.04%,28.75
64,5087086825,beachbum954 (1/2),0,349.25,C Wendell Carter Jr. F Justin Edwards G Javon Small PF Trendon Watford PG Jalen Suggs SF Jahmai Mashack SG Jalen Green UTIL Nikola Jokic,,Devin Vassell,SF,3.04%,29.25
67,5087141445,cndukwe (17/19),0,349,C Danny Wolf F Gregory Jackson G De'Aaron Fox PF Jabari Walker PG Javon Small SF Josh Minott SG Stephon Castle UTIL Nikola Jokic,,Giannis Antetokounmpo,PF,3.01%,45.5
68,5086943210,Elwaysarmy (2/20),0,348.75,C Dominick Barlow F Gregory Jackson G Stephon Castle PF Trendon Watford PG Javon Small SF Josh Minott SG Jalen Green UTIL Nikola Jokic,,Payton Pritchard,SG,2.86%,25
68,5087142958,cachedinar (7/20),0,348.75,C Olivier-Maxence Prosper F Devin Vassell G Javon Small PF Gregory Jackson PG Kasparas Jakucionis SF Jaylen Wells SG Stephon Castle UTIL Nikola Jokic,,De'Aaron Fox,UTIL,2.83%,46.25
68,5087218791,solomex49 (9/20),0,348.75,C Wendell Carter Jr. F Trendon Watford G Stephon Castle PF Jalen Johnson PG Javon Small SF Jaylen Wells SG Devin Booker UTIL Justin Edwards,,Cameron Payne,SG,2.82%,19.25
71,5086577931,Minlaian1000 (14/20),0,348.5,C Wendell Carter Jr. F Olivier-Maxence Prosper G De'Aaron Fox PF Dominick Barlow PG Dylan Harper SF Jaylen Wells SG Jalen Green UTIL Nikola Jokic,,Collin Gillespie,G,2.75%,21.25
71,5086835694,11baller20 (4/11),0,348.5,C Daniel Gafford F Gregory Jackson G Stephon Castle PF Danny Wolf PG Javon Small SF Jaylen Wells SG Dylan Harper UTIL Nikola Jokic,,Javon Small,UTIL,2.69%,37
71,5087142960,cachedinar (9/20),0,348.5,C Nikola Jokic F Olivier-Maxence Prosper G Javon Small PF Gregory Jackson PG Kasparas Jakucionis SF Jaylen Wells SG Pelle Larsson UTIL De'Aaron Fox,,Ben Saraf,G,2.69%,14.75
71,5087170769,mrod2 (14/20),0,348.5,C Daniel Gafford F Paolo Banchero G Jalen Green PF Tristan da Silva PG Javon Small SF Rayan Rupert SG Devin Booker UTIL Jaylen Wells,,Paolo Banchero,F,2.65%,38
75,5086752149,dcaples75 (1/6),0,348.25,C Wendell Carter Jr. F Jalen Green G Christian Braun PF Olivier-Maxence Prosper PG Shai Gilgeous-Alexander SF Jabari Walker SG Stephon Castle UTIL Daniel Gafford,,Shai Gilgeous-Alexander,UTIL,2.63%,65
75,5086772350,Schoey17 (13/20),0,348.25,C Daniel Gafford F Rayan Rupert G Jamal Murray PF Olivier-Maxence Prosper PG Javon Small SF Josh Minott SG Jalen Green UTIL Shai Gilgeous-Alexander,,Shai Gilgeous-Alexander,G,2.60%,65
75,5087048272,npal09 (17/20),0,348.25,C Nikola Jokic F Olivier-Maxence Prosper G De'Aaron Fox PF Trendon Watford PG Javon Small SF Josh Minott SG Stephon Castle UTIL Gregory Jackson,,Jaylen Brown,SF,2.59%,55.5
75,5087129372,Jet411980 (19/20),0,348.25,C Wendell Carter Jr. F Rayan Rupert G Javon Small PF Gregory Jackson PG Ethan Thompson SF Jaylen Wells SG Devin Booker UTIL Nikola Jokic,,Josh Minott,SF,2.59%,42.25
75,5087147649,MelBaez (9/20),0,348.25,C Nikola Jokic F Gregory Jackson G Javon Small PF Trendon Watford PG De'Aaron Fox SF Josh Minott SG Stephon Castle UTIL Olivier-Maxence Prosper,,Nic Claxton,C,2.58%,16
75,5087147656,MelBaez (16/20),0,348.25,C Nikola Jokic F Gregory Jackson G Javon Small PF Trendon Watford PG De'Aaron Fox SF Josh Minott SG Stephon Castle UTIL Olivier-Maxence Prosper,,Rayan Rupert,UTIL,2.52%,26.75
75,5087162026,deez516 (18/20),0,348.25,C Daniel Gafford F Rayan Rupert G Jaylen Brown PF Olivier-Maxence Prosper PG Kasparas Jakucionis SF Jalen Green SG Ethan Thompson UTIL Nikola Jokic,,Jaylin Williams,PF,2.47%,14
82,5086907096,Zmerz (8/20),0,348,C Danny Wolf F Jaylen Wells G Javon Small PF Bilal Coulibaly PG Devin Booker SF Rayan Rupert SG Baylor Scheierman UTIL Nikola Jokic,,Nickeil Alexander-Walker,SG,2.44%,29.5
82,5087146491,TheDingoDude (17/20),0,348,C Wendell Carter Jr. F Olivier-Maxence Prosper G Javon Small PF Gregory Jackson PG De'Aaron Fox SF Tristan da Silva SG Keldon Johnson UTIL Nikola Jokic,,Giannis Antetokounmpo,F,2.43%,45.5
82,5087226220,cparello (17/20),0,348,C Wendell Carter Jr. F Olivier-Maxence Prosper G Stephon Castle PF Trendon Watford PG Ethan Thompson SF Rayan Rupert SG Devin Booker UTIL Nikola Jokic,,Dominick Barlow,F,2.40%,22
85,5087162096,rollom0,0,347.75,C Wendell Carter Jr. F Rayan Rupert G Javon Small PF Danny Wolf PG Ben Saraf SF Tristan da Silva SG Devin Booker UTIL Nikola Jokic,,Jalen Johnson,F,2.40%,50.75
86,5087147644,MelBaez (4/20),0,347.5,C Wendell Carter Jr. F Gregory Jackson G Javon Small PF Danny Wolf PG De'Aaron Fox SF Tristan da Silva SG Baylor Scheierman UTIL Nikola Jokic,,Desmond Bane,G,2.39%,38.75
87,5086817974,fact74 (4/5),0,347.25,C Dominick Barlow F Gregory Jackson G De'Aaron Fox PF Olivier-Maxence Prosper PG Javon Small SF Josh Minott SG Jalen Green UTIL Nikola Jokic,,Jarace Walker,SF,2.30%,25
87,5086935842,JLR1985 (7/20),0,347.25,C Olivier-Maxence Prosper F Taylor Hendricks G De'Aaron Fox PF Danny Wolf PG Kasparas Jakucionis SF Jaylen Wells SG Jalen Green UTIL Nikola Jokic,,Tristan da Silva,F,2.30%,50.25
87,5087035869,stevecsonka (20/20),0,347.25,C Danny Wolf F Olivier-Maxence Prosper G Javon Small PF Dominick Barlow PG Kasparas Jakucionis SF Jalen Green SG Stephon Castle UTIL Nikola Jokic,,Danny Wolf,UTIL,2.26%,20
87,5087080612,jjames1989,0,347.25,C Daniel Gafford F Trendon Watford G Devin Booker PF Taylor Hendricks PG Javon Small SF Jaylen Wells SG Jahmai Mashack UTIL Nikola Jokic,,Jahmai Mashack,G,2.22%,26
87,5087219051,traceyxdaxgreat (16/16),0,347.25,C Danny Wolf F Gregory Jackson G Stephon Castle PF Olivier-Maxence Prosper PG Javon Small SF Tristan da Silva SG Dylan Harper UTIL Nikola Jokic,,Cooper Flagg,F,2.06%,32.5
87,5087220182,edb11 (3/4),0,347.25,C Daniel Gafford F Olivier-Maxence Prosper G Stephon Castle PF Gregory Jackson PG Javon Small SF Rayan Rupert SG Dylan Harper UTIL Nikola Jokic,,Davion Mitchell,G,2.05%,30.25
93,5086984009,oltjpack (9/20),0,347,C Wendell Carter Jr. F Olivier-Maxence Prosper G Jaylen Brown PF Gregory Jackson PG Javon Small SF Josh Minott SG Ethan Thompson UTIL Nikola Jokic,,Alexandre Sarr,C,2.01%,35
93,5087127567,benp34 (7/20),0,347,C Nikola Jokic F Olivier-Maxence Prosper G Stephon Castle PF Jabari Walker PG Ethan Thompson SF Rayan Rupert SG Devin Booker UTIL Javon Small,,Cameron Payne,PG,2.00%,19.25
93,5087133290,ayt1688 (2/20),0,347,C Olivier-Maxence Prosper F Jaylen Brown G Corey Kispert PF Josh Minott PG Javon Small SF Rayan Rupert SG Jalen Green UTIL Nikola Jokic,,VJ Edgecombe,SG,2.00%,18.75
96,5086766342,jkoshuta (18/20),0,346.75,C Nikola Jokic F Gregory Jackson G Stephon Castle PF Danny Wolf PG Javon Small SF Josh Minott SG Jalen Green UTIL Trendon Watford,,Jamal Murray,G,1.99%,53
96,5087103235,TheMightyE (5/12),0,346.75,C Daniel Gafford F Olivier-Maxence Prosper G Stephon Castle PF Danny Wolf PG Ethan Thompson SF Jabari Walker SG Devin Booker UTIL Nikola Jokic,,Naji Marshall,SG,1.98%,16
96,5087171163,KushedGod (5/20),0,346.75,C Nikola Jokic F Gregory Jackson G Stephon Castle PF Danny Wolf PG Javon Small SF Josh Minott SG Jalen Green UTIL Trendon Watford,,Dylan Harper,G,1.97%,28.75
96,5087219048,traceyxdaxgreat (13/16),0,346.75,C Daniel Gafford F Olivier-Maxence Prosper G Stephon Castle PF Danny Wolf PG Javon Small SF Tristan da Silva SG Cason Wallace UTIL Nikola Jokic,,Jaylin Williams,C,1.92%,14
96,5087250286,dairwalker (14/20),0,346.75,C Daniel Gafford F Taylor Hendricks G De'Aaron Fox PF Trendon Watford PG Javon Small SF Rayan Rupert SG Jalen Green UTIL Nikola Jokic,,Daniel Gafford,UTIL,1.90%,43.5
101,5086965917,MelHoll78,0,346.5,C Marvin Bagley III F Gregory Jackson G De'Aaron Fox PF Olivier-Maxence Prosper PG Javon Small SF Josh Minott SG Jalen Green UTIL Nikola Jokic,,Onyeka Okongwu,C,1.88%,36.25
102,5086860371,sheva76 (18/20),0,346.25,C Olivier-Maxence Prosper F Rayan Rupert G Javon Small PF Gregory Jackson PG Ethan Thompson SF Jalen Green SG Stephon Castle UTIL Nikola Jokic,,Jaime Jaquez Jr.,F,1.86%,21.5
102,5087129368,Jet411980 (15/20),0,346.25,C Olivier-Maxence Prosper F Rayan Rupert G Javon Small PF Gregory Jackson PG Ethan Thompson SF Jalen Green SG Stephon Castle UTIL Nikola Jokic,,Neemias Queta,C,1.81%,22
102,5087202469,legreat19 (4/20),0,346.25,C Daniel Gafford F Olivier-Maxence Prosper G Javon Small PF Taylor Hendricks PG Devin Booker SF Justin Edwards SG Desmond Bane UTIL Jaylen Brown,,Kel'el Ware,UTIL,1.80%,25.25
105,5086687098,Bpscommish2,0,346,C Wendell Carter Jr. F Jalen Green G Collin Gillespie PF Tristan da Silva PG Javon Small SF Justin Edwards SG Tre Johnson UTIL Nikola Jokic,,Tre Johnson,SG,1.79%,11.75
105,5087001908,PSUMMERB (7/20),0,346,C Nikola Jokic F PJ Washington G Kasparas Jakucionis PF Trendon Watford PG Javon Small SF Josh Minott SG Desmond Bane UTIL Stephon Castle,,Payton Pritchard,G,1.77%,25
105,5087133303,ayt1688 (15/20),0,346,C Kel'el Ware F Gregory Jackson G Javon Small PF Olivier-Maxence Prosper PG Devin Booker SF Jalen Green SG Stephon Castle UTIL Daniel Gafford,,Marvin Bagley III,UTIL,1.77%,21.25
108,5086633603,Peaches6978 (2/3),0,345.75,C Nikola Jokic F Trendon Watford G Cameron Payne PF Tristan da Silva PG De'Aaron Fox SF Justin Edwards SG Stephon Castle UTIL Olivier-Maxence Prosper,,Desmond Bane,F,1.67%,38.75
108,5087168525,Choboy (19/20),0,345.75,C Dominick Barlow F Danny Wolf G Stephon Castle PF Trendon Watford PG Javon Small SF Tristan da Silva SG Jalen Green UTIL Nikola Jokic,,Kasparas Jakucionis,G,1.63%,35.25
108,5087221609,ynot4greg21 (2/20),0,345.75,C Dominick Barlow F Olivier-Maxence Prosper G Javon Small PF Trendon Watford PG Devin Booker SF Josh Minott SG Jalen Green UTIL Nikola Jokic,,Kyle Kuzma,SF,1.58%,13.75
111,5086772345,Schoey17 (8/20),0,345.25,C Olivier-Maxence Prosper F PJ Washington G De'Aaron Fox PF Dominick Barlow PG Javon Small SF Josh Minott SG Jalen Green UTIL Nikola Jokic,,Taylor Hendricks,F,1.58%,41
112,5086816507,ataco89,0,345,C Marvin Bagley III F Danny Wolf G Jalen Green PF Trendon Watford PG Javon Small SF Tristan da Silva SG Stephon Castle UTIL Nikola Jokic,,Nickeil Alexander-Walker,PG,1.57%,29.5
