Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5087248320,oldangrygamer (20/20),0,382.25,C Wendell Carter Jr. F Bilal Coulibaly G Luguentz Dort PF Taylor Hendricks PG Devin Booker SF Tristan da Silva SG Baylor Scheierman UTIL Nikola Jokic,,Javon Small,PG,31.07%,37
2,5087070535,SilenceOfTheBats (20/20),0,377.5,C Nikola Jokic F Taylor Hendricks G De'Aaron Fox PF Trendon Watford PG Javon Small SF Tristan da Silva SG Stephon Castle UTIL Zaccharie Risacher,,Trendon Watford,PF,28.55%,11.5
3,5087031527,worldof_atlas (17/20),0,376.5,C Dominick Barlow F Olivier-Maxence Prosper G Stephon Castle PF Tristan da Silva PG Kasparas Jakucionis SF Jaylen Wells SG Jalen Green UTIL Nikola Jokic,,Javon Small,G,27.23%,37
4,5087161858,achellappa (6/20),0,371.25,C Wendell Carter Jr. F Jaylen Wells G Javon Small PF Olivier-Maxence Prosper PG Ethan Thompson SF Jalen Green SG Stephon Castle UTIL Nikola Jokic,,Nikola Jokic,UTIL,25.84%,88
5,5087142965,cachedinar (14/20),0,369.75,C Olivier-Maxence Prosper F Jaylen Wells G Javon Small PF Gregory Jackson PG Kasparas Jakucionis SF Tristan da Silva SG Stephon Castle UTIL Nikola Jokic,,Rayan Rupert,SF,18.69%,26.75
6,5086901902,PhilipTMatthews (5/20),0,369.25,C Daniel Gafford F Olivier-Maxence Prosper G De'Aaron Fox PF Danny Wolf PG Javon Small SF Josh Minott SG Stephon Castle UTIL Nikola Jokic,,Nikola Jokic,C,18.10%,88
7,5086957677,Houli208 (6/6),0,366.5,C Nikola Jokic F Danny Wolf G Baylor Scheierman PF Tristan da Silva PG Jalen Suggs SF Jalen Green SG Duncan Robinson UTIL Wendell Carter Jr.,,Gregory Jackson,F,16.59%,31
8,5087142964,cachedinar (13/20),0,366.25,C Wendell Carter Jr. F Olivier-Maxence Prosper G Javon Small PF Gregory Jackson PG Kasparas Jakucionis SF Jaylen Wells SG Stephon Castle UTIL Nikola Jokic,,Danny Wolf,PF,14.76%,20
9,5087017538,david_vicknair (1/3),0,365,C Daniel Gafford F Josh Minott G De'Aaron Fox PF Olivier-Maxence Prosper PG Devin Booker SF Rayan Rupert SG Jahmai Mashack UTIL Nikola Jokic,,Danny Wolf,C,14.43%,20
10,5086979041,thatwasit (2/20),0,364.75,C Nikola Jokic F Khris Middleton G Ben Saraf PF Danny Wolf PG Javon Small SF Tristan da Silva SG Devin Booker UTIL Daniel Gafford,,Jaylen Wells,SF,13.64%,36
11,5086577919,Minlaian1000 (2/20),0,364.5,C Danny Wolf F Olivier-Maxence Prosper G Javon Small PF Josh Minott PG Jalen Suggs SF Jaylen Wells SG Stephon Castle UTIL Nikola Jokic,,Olivier-Maxence Prosper,F,12.78%,28
12,5087170757,mrod2 (2/20),0,364.25,C Daniel Gafford F Tristan da Silva G Devin Booker PF Gregory Jackson PG Javon Small SF Desmond Bane SG Jalen Green UTIL Wendell Carter Jr.,,Desmond Bane,SG,12.44%,38.75
13,5087142966,cachedinar (15/20),0,363,C Daniel Gafford F Olivier-Maxence Prosper G Javon Small PF Gregory Jackson PG Kasparas Jakucionis SF Jaylen Wells SG Stephon Castle UTIL Nikola Jokic,,Danny Wolf,F,12.12%,20
14,5086963564,RemoteLIES (8/10),0,361.5,C Daniel Gafford F Rayan Rupert G Davion Mitchell PF Kobe Brown PG Jalen Suggs SF Bilal Coulibaly SG Stephon Castle UTIL Nikola Jokic,,Jalen Green,SG,11.08%,52.75
15,5086577918,Minlaian1000 (1/20),0,361,C Wendell Carter Jr. F Olivier-Maxence Prosper G De'Aaron Fox PF Danny Wolf PG Javon Small SF Josh Minott SG Jalen Green UTIL Nikola Jokic,,Olivier-Maxence Prosper,C,10.72%,28
15,5087147654,MelBaez (14/20),0,361,C Wendell Carter Jr. F Olivier-Maxence Prosper G Javon Small PF Danny Wolf PG De'Aaron Fox SF Josh Minott SG Jalen Green UTIL Nikola Jokic,,Jahmai Mashack,SG,8.08%,26
17,5086901903,PhilipTMatthews (6/20),0,360.5,C Daniel Gafford F Olivier-Maxence Prosper G Javon Small PF Trendon Watford PG Jalen Suggs SF Zaccharie Risacher SG Stephon Castle UTIL Nikola Jokic,,Wendell Carter Jr.,C,8.05%,46.75
17,5087142957,cachedinar (6/20),0,360.5,C Olivier-Maxence Prosper F Taylor Hendricks G Javon Small PF Gregory Jackson PG Kasparas Jakucionis SF Jaylen Wells SG Stephon Castle UTIL Nikola Jokic,,Ethan Thompson,SG,7.97%,18.5
17,5087152733,j3showtime (2/3),0,360.5,C Nikola Jokic F Justin Edwards G Ben Saraf PF Tristan da Silva PG Ethan Thompson SF Jaylen Brown SG Stephon Castle UTIL Gregory Jackson,,Cade Cunningham,PG,7.67%,37.75
20,5087174002,salatso22 (15/20),0,359.75,C Wendell Carter Jr. F Olivier-Maxence Prosper G Jaylen Brown PF Josh Minott PG Jalen Suggs SF Jalen Green SG Devin Booker UTIL Marvin Bagley III,,De'Aaron Fox,G,7.62%,46.25
21,5087101522,CaliforniaCrusher (17/20),0,359.5,C Danny Wolf F Justin Edwards G Shai Gilgeous-Alexander PF Taylor Hendricks PG Devin Booker SF Tristan da Silva SG Jalen Green UTIL Olivier-Maxence Prosper,,Kel'el Ware,C,7.54%,25.25
22,5086942735,rumrunner72 (17/20),0,359.25,C Wendell Carter Jr. F Olivier-Maxence Prosper G Brandon Williams PF Danny Wolf PG Javon Small SF Tristan da Silva SG Jalen Green UTIL Nikola Jokic,,Paolo Banchero,PF,7.39%,38
23,5087226204,cparello (1/20),0,359,C Kel'el Ware F Gregory Jackson G Stephon Castle PF Josh Minott PG Javon Small SF Jalen Green SG Ethan Thompson UTIL Nikola Jokic,,Gregory Jackson,UTIL,7.26%,31
24,5087115708,early325 (19/20),0,358.25,C Nikola Jokic F Rayan Rupert G Javon Small PF Josh Minott PG Collin Gillespie SF Bilal Coulibaly SG Stephon Castle UTIL Gregory Jackson,,Tristan da Silva,SF,7.12%,50.25
