Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Moses Moody (42221139),Moses Moody,42221139,SF/F/UTIL,6300,GSW@UTA 03/09/2026 09:00PM ET,GSW,22.27
SG/SF,Josh Hart (42221142),Josh Hart,42221142,SG/SF/F/G/UTIL,6300,NYK@LAC 03/09/2026 10:00PM ET,NYK,31.86
PF,Aaron Gordon (42221147),Aaron Gordon,42221147,PF/F/UTIL,6300,DEN@OKC 03/09/2026 07:30PM ET,DEN,30.64
C,Zach Edey (42221157),Zach Edey,42221157,C/UTIL,6200,MEM@BKN 03/09/2026 07:30PM ET,MEM,33.77
SG/SF,Bennedict Mathurin (42221150),Bennedict Mathurin,42221150,SG/SF/F/G/UTIL,6200,NYK@LAC 03/09/2026 10:00PM ET,LAC,30.34
C,Isaiah Hartenstein (42221155),Isaiah Hartenstein,42221155,C/UTIL,6200,DEN@OKC 03/09/2026 07:30PM ET,OKC,30.07
SF,Mikal Bridges (42221159),Mikal Bridges,42221159,SF/F/UTIL,6100,NYK@LAC 03/09/2026 10:00PM ET,NYK,31.22
PG/SG,Quentin Grimes (42221162),Quentin Grimes,42221162,PG/SG/G/UTIL,6000,PHI@CLE 03/09/2026 07:00PM ET,PHI,24.94
PF/C,John Collins (42221166),John Collins,42221166,PF/C/F/UTIL,6000,NYK@LAC 03/09/2026 10:00PM ET,LAC,25.05
SG/SF,De'Anthony Melton (42221170),De'Anthony Melton,42221170,SG/SF/F/G/UTIL,5900,GSW@UTA 03/09/2026 09:00PM ET,GSW,23.85
PF/C,Santi Aldama (42221175),Santi Aldama,42221175,PF/C/F/UTIL,5800,MEM@BKN 03/09/2026 07:30PM ET,MEM,30.25
SF/PF,Jaylon Tyson (42221179),Jaylon Tyson,42221179,SF/PF/F/UTIL,5700,PHI@CLE 03/09/2026 07:00PM ET,CLE,26.33
PF/C,Jaylin Williams (42221183),Jaylin Williams,42221183,PF/C/F/UTIL,5700,DEN@OKC 03/09/2026 07:30PM ET,OKC,20.41
SG/SF,Brice Sensabaugh (42221187),Brice Sensabaugh,42221187,SG/SF/F/G/UTIL,5600,GSW@UTA 03/09/2026 09:00PM ET,UTA,20.72
PF/C,Draymond Green (42221192),Draymond Green,42221192,PF/C/F/UTIL,5600,GSW@UTA 03/09/2026 09:00PM ET,GSW,25.65
SF/PF,Cameron Johnson (42221196),Cameron Johnson,42221196,SF/PF/F/UTIL,5600,DEN@OKC 03/09/2026 07:30PM ET,DEN,21.89
C,Nic Claxton (42221205),Nic Claxton,42221205,C/UTIL,5500,MEM@BKN 03/09/2026 07:30PM ET,BKN,30.77
PF/C,Kristaps Porzingis (42221207),Kristaps Porzingis,42221207,PF/C/F/UTIL,5500,GSW@UTA 03/09/2026 09:00PM ET,GSW,30.57
SG/SF,Cason Wallace (42221200),Cason Wallace,42221200,SG/SF/F/G/UTIL,5500,DEN@OKC 03/09/2026 07:30PM ET,OKC,21.79
PG,Javon Small (42221220),Javon Small,42221220,PG/G/UTIL,5400,MEM@BKN 03/09/2026 07:30PM ET,MEM,18.32
PF/C,Al Horford (42221211),Al Horford,42221211,PF/C/F/UTIL,5400,GSW@UTA 03/09/2026 09:00PM ET,GSW,22.53
SG/SF,Sam Merrill (42221215),Sam Merrill,42221215,SG/SF/F/G/UTIL,5400,PHI@CLE 03/09/2026 07:00PM ET,CLE,21.74
PG,Scotty Pippen Jr. (42221226),Scotty Pippen Jr.,42221226,PG/G/UTIL,5300,MEM@BKN 03/09/2026 07:30PM ET,MEM,24.95
SG,Christian Braun (42221223),Christian Braun,42221223,SG/G/UTIL,5300,DEN@OKC 03/09/2026 07:30PM ET,DEN,22.76
PF,Noah Clowney (42221229),Noah Clowney,42221229,PF/F/UTIL,5200,MEM@BKN 03/09/2026 07:30PM ET,BKN,23.91
PG,Dennis Schroder (42221232),Dennis Schroder,42221232,PG/G/UTIL,5200,PHI@CLE 03/09/2026 07:00PM ET,CLE,25.14
SG,Cedric Coward (42221235),Cedric Coward,42221235,SG/G/UTIL,5100,MEM@BKN 03/09/2026 07:30PM ET,MEM,27.31
C,Day'Ron Sharpe (42221238),Day'Ron Sharpe,42221238,C/UTIL,5000,MEM@BKN 03/09/2026 07:30PM ET,BKN,22.70
PF/C,Olivier-Maxence Prosper (42221240),Olivier-Maxence Prosper,42221240,PF/C/F/UTIL,5000,MEM@BKN 03/09/2026 07:30PM ET,MEM,14.94
SF/PF,Derrick Jones Jr. (42221244),Derrick Jones Jr.,42221244,SF/PF/F/UTIL,5000,NYK@LAC 03/09/2026 10:00PM ET,LAC,20.44
PF/C,Taylor Hendricks (42221252),Taylor Hendricks,42221252,PF/C/F/UTIL,4900,MEM@BKN 03/09/2026 07:30PM ET,MEM,14.24
SG,Max Strus (42221256),Max Strus,42221256,SG/G/UTIL,4900,PHI@CLE 03/09/2026 07:00PM ET,CLE,0
PG/SG,Kris Dunn (42221248),Kris Dunn,42221248,PG/SG/G/UTIL,4900,NYK@LAC 03/09/2026 10:00PM ET,LAC,20.39
SF,Jaylen Wells (42221259),Jaylen Wells,42221259,SF/F/UTIL,4800,MEM@BKN 03/09/2026 07:30PM ET,MEM,21.58
SG/SF,Cam Spencer (42221262),Cam Spencer,42221262,SG/SF/F/G/UTIL,4800,MEM@BKN 03/09/2026 07:30PM ET,MEM,25.14
PG/SG,Egor Demin (42221269),Egor Demin,42221269,PG/SG/G/UTIL,4800,MEM@BKN 03/09/2026 07:30PM ET,BKN,21.93
C,Brook Lopez (42221267),Brook Lopez,42221267,C/UTIL,4800,NYK@LAC 03/09/2026 10:00PM ET,LAC,16.72
PG,Pat Spencer (42221282),Pat Spencer,42221282,PG/G/UTIL,4700,GSW@UTA 03/09/2026 09:00PM ET,GSW,15.71
C,Andre Drummond (42221280),Andre Drummond,42221280,C/UTIL,4700,PHI@CLE 03/09/2026 07:00PM ET,PHI,21.57
SG,Isaiah Joe (42221273),Isaiah Joe,42221273,SG/G/UTIL,4700,DEN@OKC 03/09/2026 07:30PM ET,OKC,19.24
SF/PF,Aaron Wiggins (42221276),Aaron Wiggins,42221276,SF/PF/F/UTIL,4700,DEN@OKC 03/09/2026 07:30PM ET,OKC,20.50
SG,Walter Clayton Jr. (42221292),Walter Clayton Jr.,42221292,SG/G/UTIL,4600,MEM@BKN 03/09/2026 07:30PM ET,MEM,16.9
SG/SF,Cody Williams (42221295),Cody Williams,42221295,SG/SF/F/G/UTIL,4600,GSW@UTA 03/09/2026 09:00PM ET,UTA,13.15
PG/SG,Bruce Brown (42221285),Bruce Brown,42221285,PG/SG/G/UTIL,4600,DEN@OKC 03/09/2026 07:30PM ET,DEN,18.31
SF,Tim Hardaway Jr. (42221289),Tim Hardaway Jr.,42221289,SF/F/UTIL,4600,DEN@OKC 03/09/2026 07:30PM ET,DEN,21.38
PG,Ajay Mitchell (42221300),Ajay Mitchell,42221300,PG/G/UTIL,4600,DEN@OKC 03/09/2026 07:30PM ET,OKC,27.19
PF/C,Danny Wolf (42221306),Danny Wolf,42221306,PF/C/F/UTIL,4500,MEM@BKN 03/09/2026 07:30PM ET,BKN,20.08
PG/SG,Cameron Payne (42221310),Cameron Payne,42221310,PG/SG/G/UTIL,4500,PHI@CLE 03/09/2026 07:00PM ET,PHI,10.97
SG,Luguentz Dort (42221303),Luguentz Dort,42221303,SG/G/UTIL,4500,DEN@OKC 03/09/2026 07:30PM ET,OKC,18.61
PG,Nolan Traore (42221332),Nolan Traore,42221332,PG/G/UTIL,4400,MEM@BKN 03/09/2026 07:30PM ET,BKN,17.29
SG/SF,Gary Payton II (42221314),Gary Payton II,42221314,SG/SF/F/G/UTIL,4400,GSW@UTA 03/09/2026 09:00PM ET,GSW,14.33
SG/SF,Keon Ellis (42221319),Keon Ellis,42221319,SG/SF/F/G/UTIL,4400,PHI@CLE 03/09/2026 07:00PM ET,CLE,13.03
SF/PF,Jabari Walker (42221324),Jabari Walker,42221324,SF/PF/F/UTIL,4400,PHI@CLE 03/09/2026 07:00PM ET,PHI,10.43
PF/C,Dominick Barlow (42221328),Dominick Barlow,42221328,PF/C/F/UTIL,4400,PHI@CLE 03/09/2026 07:00PM ET,PHI,18.73
SG/SF,Ziaire Williams (42221338),Ziaire Williams,42221338,SG/SF/F/G/UTIL,4300,MEM@BKN 03/09/2026 07:30PM ET,BKN,17.69
SF,John Konchar (42221345),John Konchar,42221345,SF/F/UTIL,4300,GSW@UTA 03/09/2026 09:00PM ET,UTA,13.16
PG,Craig Porter Jr. (42221335),Craig Porter Jr.,42221335,PG/G/UTIL,4300,PHI@CLE 03/09/2026 07:00PM ET,CLE,16.46
C,Thomas Bryant (42221343),Thomas Bryant,42221343,C/UTIL,4300,PHI@CLE 03/09/2026 07:00PM ET,CLE,11.55
C,Adem Bona (42221351),Adem Bona,42221351,C/UTIL,4200,PHI@CLE 03/09/2026 07:00PM ET,PHI,13.35
PG,Tyus Jones (42221348),Tyus Jones,42221348,PG/G/UTIL,4200,DEN@OKC 03/09/2026 07:30PM ET,DEN,9.71
PF/C,Kenrich Williams (42221353),Kenrich Williams,42221353,PF/C/F/UTIL,4200,DEN@OKC 03/09/2026 07:30PM ET,OKC,14.35
SG/SF,Julian Strawther (42221357),Julian Strawther,42221357,SG/SF/F/G/UTIL,4200,DEN@OKC 03/09/2026 07:30PM ET,DEN,12.64
SG/SF,Will Richard (42221362),Will Richard,42221362,SG/SF/F/G/UTIL,4100,GSW@UTA 03/09/2026 09:00PM ET,GSW,15.06
C,Mitchell Robinson (42221367),Mitchell Robinson,42221367,C/UTIL,4100,NYK@LAC 03/09/2026 10:00PM ET,NYK,20.92
PG/SG,Jordan Miller (42221369),Jordan Miller,42221369,PG/SG/G/UTIL,4100,NYK@LAC 03/09/2026 10:00PM ET,LAC,17.73
SF,Rayan Rupert (42221373),Rayan Rupert,42221373,SF/F/UTIL,4000,MEM@BKN 03/09/2026 07:30PM ET,MEM,9.04
SG/SF,Jahmai Mashack (42221383),Jahmai Mashack,42221383,SG/SF/F/G/UTIL,4000,MEM@BKN 03/09/2026 07:30PM ET,MEM,11.37
PF,Trendon Watford (42221380),Trendon Watford,42221380,PF/F/UTIL,4000,PHI@CLE 03/09/2026 07:00PM ET,PHI,15.08
PG/SG,Jared McCain (42221376),Jared McCain,42221376,PG/SG/G/UTIL,4000,DEN@OKC 03/09/2026 07:30PM ET,OKC,14.49
PG/SG,EJ Harkless (42221394),EJ Harkless,42221394,PG/SG/G/UTIL,3900,GSW@UTA 03/09/2026 09:00PM ET,UTA,9.87
SF/PF,Dean Wade (42221388),Dean Wade,42221388,SF/PF/F/UTIL,3900,PHI@CLE 03/09/2026 07:00PM ET,CLE,16.29
C,Isaiah Jackson (42221392),Isaiah Jackson,42221392,C/UTIL,3900,NYK@LAC 03/09/2026 10:00PM ET,LAC,16.73
C,Kevin Love (42221404),Kevin Love,42221404,C/UTIL,3800,GSW@UTA 03/09/2026 09:00PM ET,UTA,18.24
SG,Landry Shamet (42221401),Landry Shamet,42221401,SG/G/UTIL,3800,NYK@LAC 03/09/2026 10:00PM ET,NYK,16.84
SF,Alex Caruso (42221398),Alex Caruso,42221398,SF/F/UTIL,3800,DEN@OKC 03/09/2026 07:30PM ET,OKC,16.25
PG/SG,Terance Mann (42221406),Terance Mann,42221406,PG/SG/G/UTIL,3700,MEM@BKN 03/09/2026 07:30PM ET,BKN,18.06
SF,Justin Edwards (42221415),Justin Edwards,42221415,SF/F/UTIL,3700,PHI@CLE 03/09/2026 07:00PM ET,PHI,10.09
PF,Spencer Jones (42221410),Spencer Jones,42221410,PF/F/UTIL,3700,DEN@OKC 03/09/2026 07:30PM ET,DEN,13.69
C,Jonas Valanciunas (42221413),Jonas Valanciunas,42221413,C/UTIL,3700,DEN@OKC 03/09/2026 07:30PM ET,DEN,17.94
C,Oscar Tshiebwe (42221421),Oscar Tshiebwe,42221421,C/UTIL,3600,GSW@UTA 03/09/2026 09:00PM ET,UTA,10.06
PG,Jose Alvarado (42221418),Jose Alvarado,42221418,PG/G/UTIL,3600,NYK@LAC 03/09/2026 10:00PM ET,NYK,18.17
C,Quinten Post (42221423),Quinten Post,42221423,C/UTIL,3500,GSW@UTA 03/09/2026 09:00PM ET,GSW,16.81
SG/SF,Kobe Sanders (42221425),Kobe Sanders,42221425,SG/SF/F/G/UTIL,3500,NYK@LAC 03/09/2026 10:00PM ET,LAC,13.90
PF,Mohamed Diawara (42221430),Mohamed Diawara,42221430,PF/F/UTIL,3500,NYK@LAC 03/09/2026 10:00PM ET,NYK,6.68
PG/SG,Jalen Pickett (42221433),Jalen Pickett,42221433,PG/SG/G/UTIL,3500,DEN@OKC 03/09/2026 07:30PM ET,DEN,13.13
PF,Blake Hinson (42221441),Blake Hinson,42221441,PF/F/UTIL,3400,GSW@UTA 03/09/2026 09:00PM ET,UTA,14.39
SF,Nate Williams (42221444),Nate Williams,42221444,SF/F/UTIL,3400,GSW@UTA 03/09/2026 09:00PM ET,GSW,12.12
PG/SG,Tyrese Martin (42221437),Tyrese Martin,42221437,PG/SG/G/UTIL,3400,PHI@CLE 03/09/2026 07:00PM ET,PHI,14.52
SF/PF,Ochai Agbaji (42221452),Ochai Agbaji,42221452,SF/PF/F/UTIL,3300,MEM@BKN 03/09/2026 07:30PM ET,BKN,9.75
PG,L.J. Cryer (42221459),L.J. Cryer,42221459,PG/G/UTIL,3300,GSW@UTA 03/09/2026 09:00PM ET,GSW,7.3
C,Mo Bamba (42221462),Mo Bamba,42221462,C/UTIL,3300,GSW@UTA 03/09/2026 09:00PM ET,UTA,11
PF,Nae'Qwan Tomlin (42221456),Nae'Qwan Tomlin,42221456,PF/F/UTIL,3300,PHI@CLE 03/09/2026 07:00PM ET,CLE,13.50
SG/SF,Jordan Clarkson (42221447),Jordan Clarkson,42221447,SG/SF/F/G/UTIL,3300,NYK@LAC 03/09/2026 10:00PM ET,NYK,14.04
SG,Svi Mykhailiuk (42221464),Svi Mykhailiuk,42221464,SG/G/UTIL,3200,GSW@UTA 03/09/2026 09:00PM ET,UTA,16.69
PG,Kyle Lowry (42221471),Kyle Lowry,42221471,PG/G/UTIL,3200,PHI@CLE 03/09/2026 07:00PM ET,PHI,5.19
C,Olivier Sarr (42221477),Olivier Sarr,42221477,C/UTIL,3200,PHI@CLE 03/09/2026 07:00PM ET,CLE,0
SF/PF,Brooks Barnhizer (42221467),Brooks Barnhizer,42221467,SF/PF/F/UTIL,3200,DEN@OKC 03/09/2026 07:30PM ET,OKC,4.96
PF,David Roddy (42221474),David Roddy,42221474,PF/F/UTIL,3200,DEN@OKC 03/09/2026 07:30PM ET,DEN,3.5
PG/SG,Seth Curry (42221492),Seth Curry,42221492,PG/SG/G/UTIL,3100,GSW@UTA 03/09/2026 09:00PM ET,GSW,14.25
PF/C,Larry Nance Jr. (42221488),Larry Nance Jr.,42221488,PF/C/F/UTIL,3100,PHI@CLE 03/09/2026 07:00PM ET,CLE,9.51
PG,Tyler Kolek (42221479),Tyler Kolek,42221479,PG/G/UTIL,3100,NYK@LAC 03/09/2026 10:00PM ET,NYK,12.07
SF/PF,Jeremy Sochan (42221484),Jeremy Sochan,42221484,SF/PF/F/UTIL,3100,NYK@LAC 03/09/2026 10:00PM ET,NYK,8.43
C,Zeke Nnaji (42221482),Zeke Nnaji,42221482,C/UTIL,3100,DEN@OKC 03/09/2026 07:30PM ET,DEN,9.67
SG,Kentavious Caldwell-Pope (42221499),Kentavious Caldwell-Pope,42221499,SG/G/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,MEM,17.48
SG,Drake Powell (42221504),Drake Powell,42221504,SG/G/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,BKN,11.46
PF,Jalen Wilson (42221520),Jalen Wilson,42221520,PF/F/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,BKN,8.81
SF/PF,Josh Minott (42221529),Josh Minott,42221529,SF/PF/F/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,BKN,13.31
PG,Ben Saraf (42221542),Ben Saraf,42221542,PG/G/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,BKN,11.82
C,E.J. Liddell (42221570),E.J. Liddell,42221570,C/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,BKN,3.98
PG,Tyson Etienne (42221575),Tyson Etienne,42221575,PG/G/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,BKN,1.88
C,Grant Nelson (42221596),Grant Nelson,42221596,C/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,BKN,10.5
PF/C,Brandon Clarke (42221610),Brandon Clarke,42221610,PF/C/F/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,MEM,10.5
PF,Chaney Johnson (42221620),Chaney Johnson,42221620,PF/F/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,BKN,0
C,Taj Gibson (42221625),Taj Gibson,42221625,C/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,MEM,0
C,Jaren Jackson Jr. (42221502),Jaren Jackson Jr.,42221502,C/UTIL,3000,GSW@UTA 03/09/2026 09:00PM ET,UTA,34.35
C,Jusuf Nurkic (42221518),Jusuf Nurkic,42221518,C/UTIL,3000,GSW@UTA 03/09/2026 09:00PM ET,UTA,34.52
PG,Vince Williams Jr. (42221523),Vince Williams Jr.,42221523,PG/G/UTIL,3000,GSW@UTA 03/09/2026 09:00PM ET,UTA,20.67
PF,Jimmy Butler (42221526),Jimmy Butler,42221526,PF/F/UTIL,3000,GSW@UTA 03/09/2026 09:00PM ET,GSW,37.31
PF,Malevy Leons (42221567),Malevy Leons,42221567,PF/F/UTIL,3000,GSW@UTA 03/09/2026 09:00PM ET,GSW,7.32
C,Walker Kessler (42221585),Walker Kessler,42221585,C/UTIL,3000,GSW@UTA 03/09/2026 09:00PM ET,UTA,38.4
PG/SG,Tyrese Proctor (42221512),Tyrese Proctor,42221512,PG/SG/G/UTIL,3000,PHI@CLE 03/09/2026 07:00PM ET,CLE,8.95
SF,Dalen Terry (42221533),Dalen Terry,42221533,SF/F/UTIL,3000,PHI@CLE 03/09/2026 07:00PM ET,PHI,9.35
SF,Paul George (42221545),Paul George,42221545,SF/F/UTIL,3000,PHI@CLE 03/09/2026 07:00PM ET,PHI,32.34
C,Johni Broome (42221563),Johni Broome,42221563,C/UTIL,3000,PHI@CLE 03/09/2026 07:00PM ET,PHI,4.04
SF/PF,Tristan Enaruna (42221592),Tristan Enaruna,42221592,SF/PF/F/UTIL,3000,PHI@CLE 03/09/2026 07:00PM ET,CLE,4.81
SF,Riley Minix (42221598),Riley Minix,42221598,SF/F/UTIL,3000,PHI@CLE 03/09/2026 07:00PM ET,CLE,5.17
SG/SF,Marjon Beauchamp (42221605),Marjon Beauchamp,42221605,SG/SF/F/G/UTIL,3000,PHI@CLE 03/09/2026 07:00PM ET,PHI,21.12
PF,Nicolas Batum (42221496),Nicolas Batum,42221496,PF/F/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,LAC,11.02
C,Ariel Hukporti (42221507),Ariel Hukporti,42221507,C/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,NYK,7.12
SG,Cam Christie (42221509),Cam Christie,42221509,SG/G/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,LAC,6.42
C,Yanic Konan Niederhauser (42221516),Yanic Konan Niederhauser,42221516,C/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,LAC,9.74
PG/SG,Miles McBride (42221538),Miles McBride,42221538,PG/SG/G/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,NYK,23.44
SG,Pacome Dadiet (42221548),Pacome Dadiet,42221548,SG/G/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,NYK,3.10
PG/SG,Bogdan Bogdanovic (42221553),Bogdan Bogdanovic,42221553,PG/SG/G/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,LAC,16.60
PF,Kevin McCullar Jr. (42221557),Kevin McCullar Jr.,42221557,PF/F/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,NYK,5.67
C,Trey Jemison (42221565),Trey Jemison,42221565,C/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,NYK,3.32
PG,TyTy Washington Jr. (42221572),TyTy Washington Jr.,42221572,PG/G/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,LAC,6.25
SG,Bradley Beal (42221578),Bradley Beal,42221578,SG/G/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,LAC,12.54
C,Dillon Jones (42221590),Dillon Jones,42221590,C/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,NYK,5
PF/C,Norchad Omier (42221601),Norchad Omier,42221601,PF/C/F/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,LAC,3.5
PG,Sean Pedulla (42221617),Sean Pedulla,42221617,PG/G/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,LAC,0
C,Branden Carlson (42221536),Branden Carlson,42221536,C/UTIL,3000,DEN@OKC 03/09/2026 07:30PM ET,OKC,10.57
C,DaRon Holmes II (42221551),DaRon Holmes II,42221551,C/UTIL,3000,DEN@OKC 03/09/2026 07:30PM ET,DEN,8.22
PG,KJ Simpson (42221560),KJ Simpson,42221560,PG/G/UTIL,3000,DEN@OKC 03/09/2026 07:30PM ET,DEN,13.18
PG/SG,Curtis Jones (42221581),Curtis Jones,42221581,PG/SG/G/UTIL,3000,DEN@OKC 03/09/2026 07:30PM ET,DEN,3.29
PG,Nikola Topic (42221587),Nikola Topic,42221587,PG/G/UTIL,3000,DEN@OKC 03/09/2026 07:30PM ET,OKC,7.3
PF,Payton Sandfort (42221614),Payton Sandfort,42221614,PF/F/UTIL,3000,DEN@OKC 03/09/2026 07:30PM ET,OKC,0
C,Thomas Sorber (42221623),Thomas Sorber,42221623,C/UTIL,3000,DEN@OKC 03/09/2026 07:30PM ET,OKC,0
