Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (42221043),Nikola Jokic,42221043,C/UTIL,12400,DEN@OKC 03/09/2026 07:30PM ET,DEN,64.66
PG,Shai Gilgeous-Alexander (42221045),Shai Gilgeous-Alexander,42221045,PG/G/UTIL,10700,DEN@OKC 03/09/2026 07:30PM ET,OKC,50.97
PG,Tyrese Maxey (42221048),Tyrese Maxey,42221048,PG/G/UTIL,10100,PHI@CLE 03/09/2026 07:00PM ET,PHI,49.06
SF,Kawhi Leonard (42221051),Kawhi Leonard,42221051,SF/F/UTIL,9800,NYK@LAC 03/09/2026 10:00PM ET,LAC,46.02
SG,Donovan Mitchell (42221054),Donovan Mitchell,42221054,SG/G/UTIL,9700,PHI@CLE 03/09/2026 07:00PM ET,CLE,45.58
C,Joel Embiid (42221057),Joel Embiid,42221057,C/UTIL,9600,PHI@CLE 03/09/2026 07:00PM ET,PHI,44.95
PG,James Harden (42221059),James Harden,42221059,PG/G/UTIL,9400,PHI@CLE 03/09/2026 07:00PM ET,CLE,45.91
PG,Jalen Brunson (42221062),Jalen Brunson,42221062,PG/G/UTIL,9100,NYK@LAC 03/09/2026 10:00PM ET,NYK,41.18
PG,Stephen Curry (42221065),Stephen Curry,42221065,PG/G/UTIL,9000,GSW@UTA 03/09/2026 09:00PM ET,GSW,42.91
PG,Jamal Murray (42221068),Jamal Murray,42221068,PG/G/UTIL,8900,DEN@OKC 03/09/2026 07:30PM ET,DEN,44.10
PF,Chet Holmgren (42221071),Chet Holmgren,42221071,PF/F/UTIL,8700,DEN@OKC 03/09/2026 07:30PM ET,OKC,35.41
C,Karl-Anthony Towns (42221074),Karl-Anthony Towns,42221074,C/UTIL,8600,NYK@LAC 03/09/2026 10:00PM ET,NYK,41.36
PG,Ja Morant (42221076),Ja Morant,42221076,PG/G/UTIL,8500,MEM@BKN 03/09/2026 07:30PM ET,MEM,37.51
PF/C,Evan Mobley (42221079),Evan Mobley,42221079,PF/C/F/UTIL,8400,PHI@CLE 03/09/2026 07:00PM ET,CLE,39.78
SF,Lauri Markkanen (42221083),Lauri Markkanen,42221083,SF/F/UTIL,8300,GSW@UTA 03/09/2026 09:00PM ET,UTA,42.32
SF,Jalen Williams (42221086),Jalen Williams,42221086,SF/F/UTIL,8200,DEN@OKC 03/09/2026 07:30PM ET,OKC,34.16
PG,Isaiah Collier (42221089),Isaiah Collier,42221089,PG/G/UTIL,8100,GSW@UTA 03/09/2026 09:00PM ET,UTA,27.50
PG,Keyonte George (42221092),Keyonte George,42221092,PG/G/UTIL,8000,GSW@UTA 03/09/2026 09:00PM ET,UTA,40.61
SF,Michael Porter Jr. (42221095),Michael Porter Jr.,42221095,SF/F/UTIL,7900,MEM@BKN 03/09/2026 07:30PM ET,BKN,41.41
PF/C,Kyle Filipowski (42221098),Kyle Filipowski,42221098,PF/C/F/UTIL,7800,GSW@UTA 03/09/2026 09:00PM ET,UTA,25.00
C,Jarrett Allen (42221102),Jarrett Allen,42221102,C/UTIL,7700,PHI@CLE 03/09/2026 07:00PM ET,CLE,32.26
PG/SG,Brandin Podziemski (42221104),Brandin Podziemski,42221104,PG/SG/G/UTIL,7400,GSW@UTA 03/09/2026 09:00PM ET,GSW,27.41
SG,VJ Edgecombe (42221108),VJ Edgecombe,42221108,SG/G/UTIL,7100,PHI@CLE 03/09/2026 07:00PM ET,PHI,32.26
PF,OG Anunoby (42221111),OG Anunoby,42221111,PF/F/UTIL,6900,NYK@LAC 03/09/2026 10:00PM ET,NYK,31.78
SF/PF,Peyton Watson (42221114),Peyton Watson,42221114,SF/PF/F/UTIL,6800,DEN@OKC 03/09/2026 07:30PM ET,DEN,28.34
SF/PF,Ace Bailey (42221118),Ace Bailey,42221118,SF/PF/F/UTIL,6700,GSW@UTA 03/09/2026 09:00PM ET,UTA,22.77
PG,Ty Jerome (42221122),Ty Jerome,42221122,PG/G/UTIL,6600,MEM@BKN 03/09/2026 07:30PM ET,MEM,34.65
PF,Gui Santos (42221125),Gui Santos,42221125,PF/F/UTIL,6500,GSW@UTA 03/09/2026 09:00PM ET,GSW,16.74
PG,Darius Garland (42221128),Darius Garland,42221128,PG/G/UTIL,6500,NYK@LAC 03/09/2026 10:00PM ET,LAC,32.58
PF,Gregory Jackson (42221131),Gregory Jackson,42221131,PF/F/UTIL,6400,MEM@BKN 03/09/2026 07:30PM ET,MEM,21
SG/SF,Kelly Oubre Jr. (42221134),Kelly Oubre Jr.,42221134,SG/SF/F/G/UTIL,6400,PHI@CLE 03/09/2026 07:00PM ET,PHI,27.17
