Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5082721984,CMSM55 (20/20),0,343.25,C Isaiah Jackson F Kelly Oubre Jr. G Marcus Sasser PF Giannis Antetokounmpo PG Daniss Jenkins SF Michael Porter Jr. SG Quentin Grimes UTIL Jalen Johnson,,Daniss Jenkins,PG,32.67%,28.25
2,5082829282,booradley5 (13/20),0,327.5,C Jaylin Williams F Giannis Antetokounmpo G Marcus Sasser PF Jalen Johnson PG Daniss Jenkins SF Kelly Oubre Jr. SG Quentin Grimes UTIL Ty Jerome,,Jalen Johnson,PF,31.60%,62
2,5083040442,gehrenberg (6/20),0,327.5,C Jaylin Williams F Giannis Antetokounmpo G Marcus Sasser PF Jalen Johnson PG Daniss Jenkins SF Kelly Oubre Jr. SG Quentin Grimes UTIL Ty Jerome,,Jaylin Williams,C,21.92%,31
2,5083112950,hopscotch333 (13/20),0,327.5,C Jaylin Williams F Giannis Antetokounmpo G Daniss Jenkins PF Jalen Johnson PG Marcus Sasser SF Kelly Oubre Jr. SG Quentin Grimes UTIL Ty Jerome,,Jaylin Williams,F,20.77%,31
5,5082663647,Danny_9114 (5/20),0,327.25,C Jalen Duren F Giannis Antetokounmpo G Marcus Sasser PF Jalen Johnson PG Daniss Jenkins SF Ousmane Dieng SG Quentin Grimes UTIL Jaylin Williams,,Daniss Jenkins,G,20.41%,28.25
5,5082694927,sosamightygg22 (9/20),0,327.25,C Jalen Duren F Giannis Antetokounmpo G Daniss Jenkins PF Jalen Johnson PG Marcus Sasser SF Ousmane Dieng SG Quentin Grimes UTIL Jaylin Williams,,Tyrese Maxey,PG,19.02%,48
5,5082864514,Stree (2/20),0,327.25,C Jalen Duren F Giannis Antetokounmpo G Daniss Jenkins PF Jalen Johnson PG Marcus Sasser SF Ousmane Dieng SG Quentin Grimes UTIL Jaylin Williams,,Quentin Grimes,SG,17.69%,39.5
5,5082874331,AMayberry23 (10/20),0,327.25,C Jalen Duren F Giannis Antetokounmpo G Daniss Jenkins PF Jalen Johnson PG Marcus Sasser SF Ousmane Dieng SG Quentin Grimes UTIL Jaylin Williams,,Tyrese Maxey,G,17.56%,48
5,5082874735,kawhisenberg (4/20),0,327.25,C Jalen Duren F Giannis Antetokounmpo G Daniss Jenkins PF Jalen Johnson PG Marcus Sasser SF Ousmane Dieng SG Quentin Grimes UTIL Jaylin Williams,,Ousmane Dieng,SF,14.65%,35
5,5082948675,yobow (16/20),0,327.25,C Jalen Duren F Jaylin Williams G Daniss Jenkins PF Jalen Johnson PG Marcus Sasser SF Ousmane Dieng SG Quentin Grimes UTIL Giannis Antetokounmpo,,Jalen Duren,C,14.07%,46.5
5,5082961244,stingerz22 (1/20),0,327.25,C Jaylin Williams F Ousmane Dieng G Daniss Jenkins PF Jalen Johnson PG Tyrese Maxey SF Michael Porter Jr. SG Quentin Grimes UTIL Marcus Sasser,,Jaylin Williams,PF,13.50%,31
5,5082973853,Tnuc425 (5/20),0,327.25,C Jalen Duren F Giannis Antetokounmpo G Daniss Jenkins PF Jalen Johnson PG Marcus Sasser SF Ousmane Dieng SG Quentin Grimes UTIL Jaylin Williams,,Shai Gilgeous-Alexander,UTIL,13.47%,43.25
5,5082994580,opatlion (5/20),0,327.25,C Jalen Duren F Giannis Antetokounmpo G Marcus Sasser PF Jalen Johnson PG Daniss Jenkins SF Ousmane Dieng SG Quentin Grimes UTIL Jaylin Williams,,Kawhi Leonard,SG,13.01%,41.25
5,5083044710,Damadbowler (7/20),0,327.25,C Jalen Duren F Giannis Antetokounmpo G Daniss Jenkins PF Jalen Johnson PG Marcus Sasser SF Ousmane Dieng SG Quentin Grimes UTIL Jaylin Williams,,Kelly Oubre Jr.,SF,12.32%,39.25
5,5083081683,Jet411980 (6/20),0,327.25,C Jalen Duren F Jaylin Williams G Daniss Jenkins PF Jalen Johnson PG Marcus Sasser SF Ousmane Dieng SG Quentin Grimes UTIL Giannis Antetokounmpo,,Marcus Sasser,PG,12.11%,27.75
5,5083081689,Jet411980 (12/20),0,327.25,C Jalen Duren F Jaylin Williams G Daniss Jenkins PF Jalen Johnson PG Marcus Sasser SF Ousmane Dieng SG Quentin Grimes UTIL Giannis Antetokounmpo,,Dyson Daniels,SF,11.91%,35.75
5,5083083101,ChocoBliss (16/20),0,327.25,C Jalen Duren F Giannis Antetokounmpo G Daniss Jenkins PF Jalen Johnson PG Marcus Sasser SF Ousmane Dieng SG Quentin Grimes UTIL Jaylin Williams,,Aaron Wiggins,SF,11.90%,22.5
5,5083097964,jeffreyride,0,327.25,C Jaylin Williams F Ousmane Dieng G Daniss Jenkins PF Jalen Johnson PG Marcus Sasser SF Michael Porter Jr. SG Quentin Grimes UTIL Tyrese Maxey,,Kelly Oubre Jr.,SG,10.98%,39.25
