Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5084723550,breton04092 (11/20),0,361.25,C Karl-Anthony Towns F Danny Wolf G Javon Small PF Jaylin Williams PG Shai Gilgeous-Alexander SF Rayan Rupert SG Walter Clayton Jr. UTIL Gui Santos,,Nikola Jokic,C,35.78%,75.5
2,5084489895,korhashamo (17/20),0,360.25,C Karl-Anthony Towns F Jaylin Williams G Nolan Traore PF Danny Wolf PG Javon Small SF De'Anthony Melton SG Cam Spencer UTIL Shai Gilgeous-Alexander,,Cam Spencer,SF,28.03%,26
2,5084755648,lkaragjo12 (13/20),0,360.25,C Karl-Anthony Towns F Jaylin Williams G Javon Small PF Danny Wolf PG Shai Gilgeous-Alexander SF De'Anthony Melton SG Cam Spencer UTIL Nolan Traore,,Javon Small,PG,24.50%,36.75
2,5084919012,ZQ1989 (5/20),0,360.25,C Karl-Anthony Towns F Danny Wolf G Javon Small PF Jaylin Williams PG Shai Gilgeous-Alexander SF De'Anthony Melton SG Cam Spencer UTIL Nolan Traore,,Quentin Grimes,PG,21.30%,28.25
5,5084671479,amjennison25 (5/20),0,358.25,C Nikola Jokic F Danny Wolf G Javon Small PF Jaylin Williams PG Nolan Traore SF Rayan Rupert SG Cam Spencer UTIL Karl-Anthony Towns,,Quentin Grimes,SG,19.57%,28.25
6,5084960986,BNair724 (1/6),0,357.5,C Karl-Anthony Towns F Rayan Rupert G Shai Gilgeous-Alexander PF Jaylin Williams PG Javon Small SF Cam Spencer SG Quentin Grimes UTIL Jaylen Wells,,Walter Clayton Jr.,SG,18.33%,19.5
7,5084810438,Grnder_786 (11/20),0,357,C Nikola Jokic F Jaylin Williams G Javon Small PF Danny Wolf PG Cameron Payne SF Rayan Rupert SG Cam Spencer UTIL Karl-Anthony Towns,,Javon Small,G,17.58%,36.75
8,5084566882,masonplays2014 (3/20),0,354,C Karl-Anthony Towns F De'Anthony Melton G Shai Gilgeous-Alexander PF Jaylin Williams PG Nolan Traore SF Cam Spencer SG Cameron Payne UTIL Javon Small,,Olivier-Maxence Prosper,PF,16.39%,23.5
9,5084557146,GQ1NYC (19/20),0,353.75,C Karl-Anthony Towns F Danny Wolf G Shai Gilgeous-Alexander PF Jaylin Williams PG Nolan Traore SF De'Anthony Melton SG Walter Clayton Jr. UTIL Javon Small,,Nic Claxton,C,16.39%,29.5
9,5084771915,Stree (5/20),0,353.75,C Karl-Anthony Towns F Jaylin Williams G Shai Gilgeous-Alexander PF Danny Wolf PG Nolan Traore SF De'Anthony Melton SG Walter Clayton Jr. UTIL Javon Small,,Danny Wolf,PF,16.34%,32.75
9,5084838745,jujudadon11 (17/20),0,353.75,C Kyle Filipowski F Rayan Rupert G Isaiah Joe PF Jaylin Williams PG Shai Gilgeous-Alexander SF Josh Hart SG De'Anthony Melton UTIL Jaylen Wells,,Nikola Jokic,UTIL,15.59%,75.5
12,5084612609,Bl33dGr33n345 (19/20),0,353.25,C Nikola Jokic F Rayan Rupert G Javon Small PF Jaylin Williams PG Shai Gilgeous-Alexander SF Dean Wade SG Gary Payton II UTIL Quinten Post,,Jaylin Williams,PF,14.48%,57
12,5084902912,teddyruxpin6969 (1/3),0,353.25,C Nikola Jokic F Danny Wolf G Shai Gilgeous-Alexander PF Jaylin Williams PG Nolan Traore SF Rayan Rupert SG Isaiah Joe UTIL Quinten Post,,Shai Gilgeous-Alexander,PG,13.19%,75.75
12,5084902914,teddyruxpin6969 (2/3),0,353.25,C Nikola Jokic F Danny Wolf G Shai Gilgeous-Alexander PF Jaylin Williams PG Nolan Traore SF Rayan Rupert SG Isaiah Joe UTIL Quinten Post,,Danny Wolf,F,12.47%,32.75
12,5084902915,teddyruxpin6969 (3/3),0,353.25,C Nikola Jokic F Danny Wolf G Shai Gilgeous-Alexander PF Jaylin Williams PG Nolan Traore SF Rayan Rupert SG Isaiah Joe UTIL Quinten Post,,Jaylen Wells,SF,12.29%,31.25
12,5084960990,BNair724 (5/6),0,353.25,C Nikola Jokic F Rayan Rupert G Shai Gilgeous-Alexander PF Jaylin Williams PG Javon Small SF Cam Spencer SG Drake Powell UTIL Jahmai Mashack,,Gregory Jackson,PF,12.03%,29
17,5084483157,LukaOrangeUGrapre (5/19),0,353,C Nic Claxton F Danny Wolf G Shai Gilgeous-Alexander PF Jaylin Williams PG Javon Small SF Jaylen Wells SG Cam Spencer UTIL Karl-Anthony Towns,,Kelly Oubre Jr.,SF,11.55%,10
17,5084655620,early325 (19/20),0,353,C Nic Claxton F Danny Wolf G Javon Small PF Jaylin Williams PG Shai Gilgeous-Alexander SF Jaylen Wells SG Cam Spencer UTIL Karl-Anthony Towns,,Olivier-Maxence Prosper,F,11.49%,23.5
17,5084784230,jjbbliss (20/20),0,353,C Karl-Anthony Towns F Danny Wolf G Javon Small PF Jaylin Williams PG Shai Gilgeous-Alexander SF Jaylen Wells SG Cam Spencer UTIL Nic Claxton,,Jaylin Williams,F,11.46%,57
20,5084560501,lando84 (1/2),0,352.75,C Nikola Jokic F Jaylin Williams G Nolan Traore PF Danny Wolf PG Shai Gilgeous-Alexander SF Rayan Rupert SG Cam Spencer UTIL Quinten Post,,Cam Spencer,SG,11.15%,26
21,5084935929,sickwidit284 (10/20),0,352.5,C Karl-Anthony Towns F Danny Wolf G Shai Gilgeous-Alexander PF Jaylin Williams PG Cameron Payne SF De'Anthony Melton SG Walter Clayton Jr. UTIL Javon Small,,Gui Santos,F,9.49%,37
22,5084777309,benp34 (15/20),0,351.75,C Nikola Jokic F Danny Wolf G Nolan Traore PF Jaylin Williams PG Javon Small SF Rayan Rupert SG Walter Clayton Jr. UTIL Karl-Anthony Towns,,Gregory Jackson,F,9.32%,29
23,5084771918,Stree (8/20),0,351.5,C Jaylin Williams F Gui Santos G Nolan Traore PF Danny Wolf PG Shai Gilgeous-Alexander SF Jaylen Wells SG Cam Spencer UTIL Karl-Anthony Towns,,Gui Santos,PF,9.27%,37
24,5084612610,Bl33dGr33n345 (20/20),0,350.5,C Nikola Jokic F Rayan Rupert G Jahmai Mashack PF Jaylin Williams PG Shai Gilgeous-Alexander SF Jaylen Wells SG Cam Spencer UTIL Quinten Post,,Walter Clayton Jr.,G,8.88%,19.5
